1547906
/m/059g6h
/m/059g6h


{"/m/0blvpd": "Industrial novel"}
a 6
able 1
all 1
along 1
alton 3
ambitions 1
america 1
and 4
apparent 1
aspirations 1
at 2
background 1
barely 1
be 1
because 1
before 1
best 1
better 1
beyond 1
broken 1
but 1
by 1
can 1
chartist 1
class 1
contemporaries 1
course 1
devastation 1
dies 1
emotions 1
encompass 1
expectations 1
experiencing 1
failure 1
find 1
for 1
has 2
he 6
his 2
hopes 1
however 1
improve 1
in 3
indignation 1
instincts 1
intensely 1
is 4
its 1
joins 1
life 1
locke 3
longings 1
lot 1
loves 1
man 1
movement 1
narrative 1
new 2
no 1
normal 1
of 7
patriotic 1
physically 1
plight 1
poet 1
reaches 1
righteous 1
sails 1
seek 1
sense 1
shore 1
spirit 1
story 1
struggles 1
tailorboy 1
the 11
there 1
to 4
utterly 1
vain 2
vehicle 1
weak 1
which 1
who 1
wild 1
with 1
working 1
workingclass 1
world 1
young 1
