1313175
/m/04s3jk
/m/04s3jk
Elizabeth Gaskell
1948
a 14
affections 1
after 6
afterwards 2
age 1
alibi 1
already 2
an 2
and 20
are 1
arms 1
arrested 1
arrives 1
at 3
away 2
back 1
barton 4
bartons 1
be 3
becomes 1
becoming 1
been 1
begins 2
believes 1
between 1
bible 1
blames 1
blind 1
boat 1
but 3
by 5
can 1
canada 1
carson 8
change 1
charge 1
chartist 1
chases 1
child 1
comes 2
comfortable 1
confess 1
confronts 1
could 1
course 1
court 1
cousin 1
crime 1
crushed 1
damaged 1
day 1
dead 1
decides 3
decision 1
departing 1
depression 1
dies 2
dieshe 1
difficult 1
disappearance 1
discovers 1
distribution 1
do 1
does 1
dressmaker 1
during 2
ends 1
england 1
entering 1
esther 4
evade 1
eventually 1
face 1
faced 1
factory 1
fallen 1
falls 1
families 1
father 6
feelings 2
fight 1
final 1
finally 1
find 2
fondly 1
for 7
forgives 1
found 2
friend 1
from 1
further 1
giving 1
grandfather 1
great 1
grief 1
guilty 1
gun 2
happily 1
hardworking 1
harry 2
has 3
having 5
he 7
help 1
henry 1
her 19
herself 1
him 6
himself 1
his 7
home 1
hopes 1
however 1
ill 1
immediately 1
in 9
intelligent 1
into 2
introduced 1
investigate 1
involve 1
is 14
it 2
jail 1
jem 12
jemwill 1
job 2
john 2
justice 1
learns 1
leave 1
leaves 1
legh 1
life 1
like 1
little 1
liverpool 1
living 1
long 2
lost 1
love 1
lover 1
loves 2
manchester 2
margaret 2
marriage 1
married 1
marrying 1
mary 11
matter 1
meanwhile 1
mill 1
month 1
movement 1
mr 1
mrs 1
murder 1
murderer 2
must 1
name 1
new 1
news 1
next 1
niece 1
night 1
not 5
novel 2
now 2
nursed 1
objected 1
of 14
offer 1
old 1
on 6
one 1
only 2
over 1
owner 1
paper 1
passing 1
person 1
piece 1
pilot 1
planning 1
policeman 1
poor 1
promise 1
promises 1
protect 1
provide 1
purpose 1
pushes 1
questioner 1
realises 1
realizes 1
refusing 1
regained 1
relations 1
release 1
remorse 1
reputation 1
return 1
returns 2
rich 1
sailor 2
same 1
save 3
scene 1
secure 1
sent 1
set 1
she 14
ship 3
shot 1
show 1
sight 1
simply 1
sister 1
small 1
so 1
son 2
soon 4
still 1
streetwalker 1
sturgis 1
subject 1
summons 1
suspicion 1
taken 1
talks 1
testify 2
that 9
the 33
their 1
therefore 1
thing 1
this 2
though 1
time 1
to 29
tom 1
too 1
tradeunion 1
travels 1
trial 2
truly 1
turning 1
two 1
unfortunately 1
up 1
upon 1
vagrancy 1
visit 1
visits 1
wadding 1
warn 2
was 2
we 1
wealth 1
wealthy 1
wedded 1
when 1
where 3
which 2
who 4
wife 2
will 6
wilson 3
wilsons 1
with 6
without 1
witnessed 1
work 1
working 1
workingclass 1
would 1
written 1
young 1
