221714
/m/01gccd
/m/01gccd
Koushun Takami
1999-04
{"/m/01jfsb": "Thriller", "/m/0mz2": "Alternate history", "/m/014dfn": "Speculative fiction", "/m/026ny": "Dystopia", "/m/0c082": "Utopian and dystopian fiction"}
12 1
147 1
150 1
17 1
24hour 1
6 1
a 24
ability 1
about 1
absolve 1
after 3
air 1
all 1
alternate 1
am 1
an 5
and 20
anger 1
annually 1
antagonist 1
any 4
anything 1
are 8
as 6
at 1
attempt 3
attempts 2
authorities 1
awaken 1
battle 2
be 4
beautiful 1
been 1
being 2
belonging 1
best 3
between 1
board 2
boards 1
bomb 1
both 2
briefed 1
briefing 1
bus 1
but 1
by 4
called 1
car 2
caused 1
characters 1
chase 1
claims 1
class 3
classes 2
clinic 1
clown 1
collar 1
collars 4
compass 1
contain 1
covertly 1
crash 1
creating 1
crush 1
death 2
deaths 1
deception 1
declared 2
delinquent 1
detonated 2
devices 1
dies 2
differently 1
dismantles 1
do 1
due 1
during 1
each 1
emotion 1
end 1
ends 1
enter 1
escape 4
evacuated 1
event 1
facing 1
fact 1
faking 1
fan 1
father 1
feel 1
fictional 1
fifty 1
fight 1
find 2
first 1
following 1
food 1
for 3
forbidden 1
fortyseven 1
four 1
friend 4
from 7
fujiyoshi 1
fumiyo 1
funded 1
future 1
game 1
gassed 1
goodnatured 1
government 2
group 1
guilt 1
guise 1
gun 1
hacked 1
had 1
have 2
he 4
held 1
her 1
high 1
hill 1
him 1
hiroki 1
his 6
hours 1
how 1
human 1
if 2
impossible 1
in 14
include 1
information 1
instance 1
insurgency 1
into 1
is 3
island 4
isolated 2
issued 1
it 1
item 1
junior 1
kagawa 1
kawadaa 1
kazuo 6
kill 1
killing 1
kills 4
kinpatsu 1
kiriyama 3
known 1
kuninobu 1
lack 1
later 1
learn 1
listening 1
lobotomy 1
love 1
main 1
mainland 1
make 2
makes 1
map 1
may 1
means 2
member 1
members 1
metal 1
microphones 1
military 1
mimura 1
mitsuko 1
modeled 1
movements 1
murders 1
nakagawa 1
nanahara 1
naturally 1
necessary 1
no 2
noriko 5
obtain 1
of 16
officially 1
ogijima 1
okishima 2
on 5
one 2
only 1
onto 1
or 2
organized 1
other 3
packs 1
paper 1
paranoia 1
partial 1
participate 1
partners 1
pension 1
period 1
place 1
placed 1
plans 1
planted 1
pm 1
population 1
predicament 1
prefecture 1
previous 1
previously 1
prior 1
program 6
programand 1
project 1
protagonist 1
purposes 1
quiet 1
random 1
randomly 1
react 1
receiving 1
region 1
released 1
remain 1
remaining 1
remains 1
required 1
research 2
responsible 1
return 1
royale 1
run 1
sakamochi 2
school 2
secret 1
selected 3
servers 1
seto 1
shinji 1
ship 2
shiroiwa 1
shodoshima 1
shogo 7
shooting 1
shootout 1
shoots 2
short 1
should 1
shuya 6
simultaneously 1
single 1
soldier 1
soldiers 1
souma 1
southwest 1
spotted 1
stand 1
state 1
stemming 1
student 3
students 7
study 1
succumbs 1
such 1
sugimura 1
supervisor 1
survival 1
survivor 1
takes 2
telling 1
tells 1
terrorizing 1
that 4
the 43
their 4
them 2
then 3
there 2
they 7
thirdyear 1
those 1
timelinejapan 1
to 25
totalitarian 1
town 1
tracked 1
tracking 1
train 1
travel 1
trip 1
try 1
twice 1
two 3
uncertain 1
under 1
us 1
using 2
utero 1
was 1
water 1
way 1
weapon 1
wearer 1
were 1
when 1
which 3
while 3
who 3
will 4
win 1
winner 3
with 3
within 1
wound 1
yoshitoki 1
yutaka 1
zones 1
