7147522
/m/0h6rw1
/m/0h6rw1
Robert Rankin
2006
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
52 6
a 22
about 1
abusive 1
acid 1
actress 1
addicted 1
after 3
again 1
air 2
alien 1
aliens 1
alive 1
all 4
alleyway 1
along 1
american 1
an 4
and 44
appear 1
are 7
area 6
armed 2
arrests 1
artificial 1
as 10
aspiring 1
assistant 1
at 6
attack 2
attributes 1
automatically 1
away 3
back 2
be 3
bear 1
beat 1
because 4
becomes 1
been 1
behind 1
being 2
bellis 3
big 3
bill 4
blinking 1
body 1
book 1
boss 1
bottoms 1
breed 1
bright 1
brought 1
buries 1
but 4
by 15
calculating 1
called 1
can 1
captured 2
car 1
catatonic 1
caused 1
chain 2
charges 1
chase 1
chased 1
chef 2
chicken 3
chickens 4
circus 1
city 11
close 1
coffee 1
collision 1
come 2
conference 2
copy 1
corroborative 1
cross 1
crumble 1
cup 1
custody 1
day 2
dead 2
decide 2
decides 1
deposed 1
destroyed 2
destroys 1
different 1
diner 4
diners 1
discover 3
doesnt 1
done 1
doppelgangers 4
doppelgngers 1
dorothy 6
down 1
dozen 2
dream 1
drive 1
drives 1
drunk 2
dust 1
dying 2
each 1
eat 1
eddie 23
eggs 1
elevator 1
emerges 1
end 3
ends 1
enough 1
enslaving 1
entrance 1
escape 2
escapes 2
even 1
expects 1
experiments 1
fail 1
falling 1
fight 1
find 2
firing 1
flashing 1
fly 1
flying 6
follow 2
followed 1
following 3
for 5
force 2
fortunate 1
free 1
frees 1
from 7
full 1
get 4
gets 2
getting 1
give 1
given 2
go 6
golden 1
grenades 1
grow 1
had 1
half 1
has 3
he 9
head 2
helicopter 1
help 1
her 3
hiding 1
him 3
himself 1
his 3
hollywood 2
house 4
hypnotist 2
hypnotists 1
hypnotized 1
identity 1
implanting 1
implants 1
impossible 1
in 19
including 1
infiltrate 1
influence 1
informed 1
inside 1
inspector 3
instead 1
instructed 1
instruments 1
investigate 1
investigating 1
investigations 1
involvement 1
is 14
it 6
jack 25
jet 2
jill 1
joining 1
just 1
kidnapped 1
kill 1
kills 1
la 1
land 3
lapd 5
lead 1
leader 1
left 1
let 1
lets 1
level 2
lights 1
like 1
listening 1
lone 2
look 1
low 1
madly 1
making 2
man 1
many 1
mayor 2
meanwhile 1
meeting 1
men 6
message 1
modifications 1
mystery 1
nadine 1
named 1
neck 1
next 1
not 1
noun 1
now 1
o 3
of 20
old 2
on 4
once 1
one 1
opera 2
other 12
others 1
out 5
outside 1
over 3
pair 1
people 1
person 1
phantom 1
place 1
plan 2
pleases 1
pocket 1
police 3
policies 1
portal 1
position 1
prepared 1
previous 1
problems 1
promising 1
proof 1
proves 1
pursuing 1
queen 3
reads 2
regains 1
responsible 1
return 1
revealed 3
reveals 1
reverses 1
rising 1
robot 2
roots 1
saucer 3
saucers 3
say 1
second 3
sent 1
served 1
set 1
she 2
shoots 1
shot 1
side 1
sign 3
simple 1
smell 1
so 1
solve 1
soon 1
souls 2
space 2
squad 1
start 1
station 2
steal 1
steals 2
stole 1
stood 1
stop 2
strength 1
sucking 2
suit 1
sulphuric 1
survived 1
take 2
taken 2
tanks 1
telepathic 1
telling 1
tells 2
that 11
the 85
their 5
them 13
themselves 1
then 1
there 3
they 10
this 3
though 1
through 3
throwing 1
time 1
tinto 1
to 35
together 1
touched 1
towards 2
town 2
toy 13
toymaker 1
toys 5
toytownland 1
tradition 1
tried 1
tries 2
trouble 1
truck 1
trumped 1
try 1
trying 1
ufo 1
up 8
uses 1
vegetable 1
very 2
visit 1
wallah 1
wallet 1
wants 1
was 1
well 2
what 1
when 4
which 1
while 1
who 5
will 1
winkle 1
with 9
witnesses 1
working 2
world 2
wrings 1
