19074607
/m/04jh4jp
/m/04jh4jp
Jack Vance

{"/m/06n90": "Science Fiction"}
a 12
after 1
and 7
are 1
aristocracy 1
arrival 1
arrives 1
as 3
attempts 1
ballenkarch 2
be 1
befriended 1
begins 1
behind 1
belsaurion 1
between 1
biggest 1
billion 1
bound 1
but 1
by 3
called 1
caught 1
chauffer 1
come 1
committed 1
commoner 1
complex 1
consider 1
control 1
couple 1
destination 1
diameter 1
discovers 1
distant 1
dominated 1
druid 1
druids 2
earth 2
earthman 1
elfane 4
fellow 1
find 1
finds 2
five 2
flees 1
for 3
hableyat 3
has 1
he 7
height 1
him 1
himself 1
his 5
horrific 1
however 1
huge 1
in 2
include 1
intentions 1
is 5
job 1
joe 3
kyril 3
laity 1
left 1
life 2
lover 1
made 1
manaolo 2
mangtse 1
miles 2
murder 2
myth 1
native 1
nature 1
of 11
on 4
only 1
opposing 1
original 1
over 2
passengers 1
pawn 1
planet 1
plot 1
political 1
prince 1
princess 5
puzzling 1
reasons 1
religious 1
rule 1
ruling 1
seeking 1
selfadmitted 1
smith 2
so 1
socalled 1
son 1
spaceship 1
spy 2
surprise 2
surviving 1
that 4
the 15
threeway 1
to 4
tree 4
true 1
trunk 1
twelve 1
unknown 1
up 1
was 1
when 1
where 1
who 3
with 3
witnessing 1
woman 1
world 2
worlds 1
worship 1
xenophobic 1
yet 1
