4378065
/m/0b_108
/m/0b_108
Rex Stout

{"/m/02n4kr": "Mystery", "/m/028v3": "Detective fiction", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
100 1
a 10
able 1
about 3
accused 2
ad 1
advantage 1
advertisement 5
advising 1
after 1
against 2
agreement 1
albeit 1
albert 1
all 2
almost 1
already 3
also 1
although 3
amanuensis 1
among 1
an 4
and 17
any 1
apparent 1
appeal 1
archie 10
are 2
as 6
assistance 1
associates 1
at 2
attorney 2
attracts 1
authorities 1
background 1
backing 1
be 6
because 1
been 4
before 1
being 3
best 1
birthday 1
body 1
book 1
both 1
bribe 1
broken 1
businessman 1
but 3
by 6
calls 1
card 1
case 1
certain 1
changed 1
city 1
clearing 1
client 4
collect 1
come 1
comparing 1
concerned 1
confrontation 1
connection 1
consequently 1
consider 1
consulting 1
consults 1
contact 1
convicted 1
convinced 1
costly 1
counted 1
court 2
crime 4
currently 1
day 4
dead 1
delay 1
deliver 1
depressed 1
dept 1
describe 1
different 1
discussion 1
dispatches 1
distracted 1
district 1
driver 1
duplicity 1
earlier 1
eleven 1
enquiries 1
even 1
eventually 1
expected 1
falsely 2
family 1
father 3
fee 1
feels 1
financial 1
following 1
for 4
form 1
found 2
free 1
freyer 5
friends 1
from 1
funds 1
gave 1
give 1
goodwin 1
had 2
has 9
have 1
hays 9
haysherold 1
he 9
hear 1
help 1
herold 3
him 2
his 12
hitandrun 1
hopelessness 1
how 2
identification 2
identifies 1
if 1
immediately 1
implication 1
in 7
including 1
information 2
informing 1
initial 1
initials 2
innocence 1
innocent 3
investigate 1
is 11
it 3
james 1
jeopardy 1
johnny 2
jury 1
just 1
keems 2
killed 1
known 2
lack 1
later 1
latter 1
lawyer 1
least 1
limited 1
linked 1
make 1
man 6
many 1
meagre 1
meanwhile 2
meeting 1
michael 2
might 2
missing 1
molloy 4
money 1
more 2
mortal 1
moved 1
murder 4
murderer 1
name 2
named 1
names 1
nebraska 1
needed 1
needless 1
nero 1
new 1
newspaper 1
newspapers 1
next 2
no 1
not 3
notifying 1
novel 1
nyc 1
nypd 1
obvious 1
of 21
office 1
omaha 1
on 5
once 1
one 1
only 1
opens 1
operatives 1
others 1
paul 3
person 1
personal 1
persons 1
peter 4
ph 1
photos 1
places 1
pockets 1
point 1
postmarked 1
potential 1
preferable 1
present 1
proceed 1
prosperous 1
quickly 1
r 1
recently 1
reestablishing 1
referred 1
referring 1
refused 1
retained 1
room 1
same 2
satisfied 1
seems 1
sees 1
sends 1
sent 1
sets 1
silent 1
since 3
sister 1
some 3
something 1
son 4
soon 1
start 1
steps 2
still 1
substantial 1
such 2
sufficiently 1
supplied 1
sure 1
suspected 1
suspects 2
taken 1
telephone 1
tends 1
tentative 1
tentatively 1
than 1
that 7
the 45
theft 1
therefore 2
thinks 1
this 2
those 1
ties 1
time 1
title 1
to 21
told 1
transpired 1
trial 1
tried 2
two 1
unknown 1
up 1
using 1
validate 1
vastly 1
verdict 2
visit 1
was 3
well 1
which 4
who 1
whom 1
will 2
with 7
witnesses 1
wolfe 14
work 1
would 3
years 1
york 1
