7105091
/m/0h4bjd
/m/0h4bjd
Kathy Acker
1984
a 11
abortions 1
addicted 1
africa 1
after 1
afterwards 2
agrees 1
alexandria 2
american 1
amusement 1
an 1
and 18
another 1
apartment 1
appalled 1
are 1
arrested 1
as 2
at 1
badly 1
bakery 1
be 1
because 1
become 1
becomes 1
before 1
begins 3
blood 1
both 1
boyfriend 1
break 1
breaks 1
brother 1
but 2
by 1
cancer 1
car 1
care 1
city 2
company 1
crashes 1
customers 1
day 1
decides 1
departs 1
develop 1
dies 1
discovers 1
does 1
dreams 1
ends 1
entries 1
father 5
for 4
french 1
from 1
gang 2
genet 4
genets 1
gets 1
girl 1
gives 1
go 2
goes 1
guts 1
has 4
hates 1
have 1
he 5
her 19
high 1
him 3
his 1
iconic 1
illegally 1
in 8
incestuous 1
interest 1
into 3
is 4
janey 8
janeys 2
jean 1
joins 2
journal 1
keeps 1
kidnap 1
kidnapper 1
later 1
leave 1
leaves 1
let 1
lets 1
life 1
limits 1
live 3
living 1
locked 1
loves 1
many 1
meets 1
mexico 2
money 3
more 1
mrida 1
new 3
north 1
not 1
of 4
on 1
one 2
only 1
out 3
own 2
part 1
partners 1
period 1
persian 1
poems 1
police 1
pregnant 1
prison 1
property 2
prostitute 2
prostitution 1
puts 1
read 1
realizes 1
rebellion 1
relationship 2
release 1
running 1
school 2
scorpions 1
see 1
seems 1
sell 1
sends 1
sex 1
sexual 2
she 16
shortly 2
sister 1
slave 2
sleeps 1
slums 1
smith 1
some 2
soon 1
stealing 1
stop 1
story 1
survives 1
talented 1
tangiers 1
tenyearold 1
the 14
then 1
there 1
they 5
thieves 1
through 1
thrown 1
time 2
to 14
together 2
trader 2
travel 2
treats 3
trying 1
turn 1
twice 1
two 2
until 1
up 2
usa 1
visions 1
wants 1
we 1
while 1
who 3
whom 2
with 2
woman 1
work 1
worse 1
writer 1
york 3
