1579630
/m/05c_hc
/m/05c_hc
Oscar Wilde

a 8
adversity 1
after 2
against 2
all 2
also 1
american 1
americans 1
an 2
and 13
appears 1
are 1
as 6
author 1
be 2
because 2
been 1
bettering 1
between 1
both 3
british 3
but 3
by 2
can 1
canterville 2
castle 2
certainly 1
challenge 1
characters 2
clash 1
clearly 1
comical 1
contrast 1
contrasts 1
convey 1
could 1
creates 1
culture 3
de 1
death 2
determination 1
done 1
each 2
emphasize 1
end 1
england 3
examine 1
faces 1
family 1
father 2
fifteenyearold 1
figures 1
first 1
for 2
forgiven 1
forgiveness 2
from 2
gain 1
ghost 7
ghosts 1
god 1
guard 1
had 2
hand 1
has 3
he 8
helped 1
her 3
him 3
his 1
humorous 1
illustrates 1
in 11
into 1
is 7
issue 1
it 3
just 1
labeled 1
life 3
logically 1
love 1
message 1
mishaps 1
misunderstand 1
misunderstands 1
move 1
mrs 1
not 3
occupants 1
of 15
on 1
one 1
opposites 1
other 2
otises 3
overcoming 1
pairs 1
paragon 1
peace 1
perfect 1
perhaps 1
perspective 3
pits 1
pitting 1
places 1
presents 1
presumably 1
protagonist 1
rather 2
really 1
realm 1
reason 1
remain 1
represent 1
rest 1
returns 1
reversal 2
reverse 1
satirizing 1
says 1
see 1
sense 2
series 1
setting 1
she 1
significance 1
simon 6
sir 6
situations 2
some 1
sorry 1
stands 1
states 2
stereotypical 1
story 4
stronger 1
study 1
succeed 1
symbol 1
takes 1
tale 1
tales 1
tastes 1
tells 3
tendency 1
terrorized 1
terrorizing 1
than 2
that 5
the 28
their 2
them 2
theme 1
then 1
these 1
they 2
this 7
though 1
through 1
time 1
to 8
told 1
traditional 2
traditions 1
umney 1
unable 1
united 2
unrefined 1
upper 1
used 1
uses 1
very 1
virginia 4
was 1
who 1
why 1
wicked 1
wilde 4
wildes 2
wishes 1
with 1
