19002
/m/04svn
/m/04svn
Douglas Coupland
1995-06
{"/m/02ql9": "Epistolary novel", "/m/02xlf": "Fiction"}
200 1
747 1
a 11
abeare 1
accident 1
after 1
all 1
allowing 1
and 9
appears 1
are 4
as 2
at 3
bearing 1
begin 1
begins 2
bill 1
billund 1
boating 1
brother 1
bug 1
by 1
called 1
campus 3
change 1
characters 3
charactersdaniel 1
children 1
coder 1
company 1
coupland 1
cover 1
creation 1
daniel 4
dedicated 1
denmark 1
design 1
died 1
different 1
distinct 1
drastically 1
dynamic 1
employee 1
employees 1
enter 1
events 1
family 1
father 1
feels 1
feudalistic 1
for 1
foundations 1
gates 1
geek 1
hardcover 1
has 2
heavily 1
his 2
holding 1
house 1
housematessome 1
ibm 1
immediately 1
in 6
is 3
jed 1
jobs 1
laid 1
leave 1
left 1
lego 1
legoland 1
legolike 1
life 1
lifespan 1
like 1
limited 1
lives 2
living 1
longtime 1
lord 1
main 2
majority 1
many 1
michael 2
microsoft 4
mind 1
minecraft 1
move 1
movement 2
movements 1
narrator 1
novel 4
objectoriented 1
objects 1
of 12
off 1
offered 1
on 5
once 1
one 1
onepointoh 1
oop 3
photographed 1
plot 2
program 1
programming 1
project 3
projects 2
rear 1
redmond 3
reference 1
relationship 1
resemblance 1
second 1
serfs 1
shaken 1
silicon 2
society 1
some 1
sphere 1
susan 1
the 29
their 2
then 1
they 3
thoughtdecide 1
to 8
todd 1
together 1
two 1
undercurrents 1
valley 3
versions 1
washington 1
weighs 1
were 1
when 2
while 1
who 2
with 1
work 1
working 2
world 1
younger 1
