4305132
/m/0bw4b8
/m/0bw4b8
Philip Athans
2004-06-01
{"/m/06n90": "Science Fiction", "/m/0dwly": "Children's literature", "/m/03npn": "Horror", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 6
abyss 1
after 3
aliisza 1
and 11
argith 1
awakening 1
axe 1
baenre 3
battle 2
beasts 1
become 1
begin 1
being 2
between 2
body 1
book 2
break 1
breaking 1
but 1
by 3
camp 1
chaos 1
chaotic 1
consisting 1
continue 1
continues 1
crash 1
danifae 2
deity 1
destroy 1
destroying 1
devastating 1
discharge 1
do 1
does 1
doggedly 1
duel 3
duo 1
dyrr 3
eats 1
eilistraee 1
enchanted 1
epic 1
even 1
event 1
events 2
feeding 1
fight 1
finally 3
first 1
flees 1
focuses 1
for 1
forward 1
from 2
fully 1
gigant 1
gromph 4
group 1
halfling 1
halisstra 1
has 1
he 1
heart 1
heaven 1
help 2
her 1
himself 1
his 2
human 1
hune 1
imphraezl 1
in 4
intentions 1
interferes 1
interrupted 1
into 2
is 5
it 3
jeggred 5
journey 2
kill 1
killed 1
large 2
later 1
leader 1
lichdrow 3
little 1
lloth 2
local 1
loggers 1
logging 1
lord 1
magical 1
major 1
make 1
making 1
many 1
melarn 1
mizzrym 1
moments 1
most 2
moves 1
near 1
nimor 2
of 8
on 2
only 1
over 1
petrifies 1
pharaun 1
physical 1
place 1
polymorphs 1
portal 1
progress 1
pursues 1
quenthel 1
quest 1
rather 2
ready 1
releasing 1
returns 1
ryld 4
second 1
seems 1
sends 1
ship 1
slaughters 1
spell 1
spend 1
splitter 1
staff 1
swamp 1
sword 1
takes 1
that 1
the 19
their 5
they 2
this 1
time 1
to 5
transported 1
travel 1
triel 1
triumph 1
turned 1
two 1
until 1
uses 1
using 1
valas 1
very 1
victorious 1
victory 1
warned 1
when 1
where 2
with 4
wizard 1
worship 1
