435015
/m/0284f9
/m/0284f9
Nathaniel Hawthorne
1852
{"/m/016lj8": "Roman \u00e0 clef", "/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
a 24
about 3
accosts 1
acknowledges 1
acquaintance 1
affected 2
after 2
against 1
age 1
agrarian 1
agree 1
all 2
also 2
an 2
and 50
another 3
anxietyridden 1
apathetic 1
appearance 1
appointment 1
are 1
arrival 1
as 7
asks 4
at 6
attachment 2
audience 1
back 1
background 1
be 4
become 1
becomes 2
bedridden 1
begin 1
begins 1
behind 1
believes 2
betterment 1
between 2
black 1
bleak 1
blithedale 6
body 1
brink 1
build 1
buried 1
but 1
by 4
care 1
carrying 1
cause 2
chapter 1
character 2
characters 5
chastised 1
chat 1
child 1
chooses 1
citizens 1
city 1
clairvoyant 2
clarified 1
close 1
closeness 1
comes 1
community 4
continue 1
controlling 1
coverdale 20
cryptic 1
culminates 1
curiosity 1
curious 1
cynical 1
day 1
death 3
declares 1
depression 1
describes 1
develop 1
develops 2
dinner 1
disagree 1
disagreements 2
disappears 1
discourse 1
discuss 2
discussion 1
does 3
drama 1
drunk 1
due 2
during 1
effectively 1
eliot 2
embarks 1
embarrassed 1
ends 1
entitled 1
expected 1
expresses 1
extremely 1
family 1
farm 2
father 1
fauntleroy 2
fell 1
fiction 1
find 1
first 1
flies 1
foolish 1
for 8
form 1
foster 2
four 1
frail 1
friendship 2
from 2
funeral 1
future 1
gets 1
girl 2
given 1
go 1
grace 1
guest 1
had 1
half 1
has 1
haunting 1
have 1
he 14
health 1
her 10
him 5
his 4
hollingsworth 19
hopes 1
hotel 1
house 1
however 2
ideals 2
ill 1
immediately 1
implying 1
in 11
indeed 1
intensifies 1
intensify 1
interrupted 1
introduced 2
is 20
it 6
lady 4
land 1
last 3
later 2
leave 1
leaves 1
leaving 1
legend 1
less 1
life 1
lifestyle 1
like 1
lives 1
love 2
magician 1
main 3
makes 3
making 1
man 2
meanwhile 1
meet 2
meets 1
mid1800s 1
might 1
miles 1
misogynistic 1
moodie 4
more 2
motivated 1
move 1
mr 2
mrs 1
murdered 1
mysterious 1
name 1
named 1
narration 1
narrators 1
neighbors 1
never 2
next 2
none 1
not 3
notice 1
novel 2
now 1
of 24
old 3
on 5
once 2
open 1
or 2
other 1
out 3
outlookhe 1
over 1
overhears 1
pale 1
part 1
party 1
peeping 2
philosophical 1
place 2
plausibility 1
point 3
popular 1
presumably 1
previous 1
prior 1
priscilla 14
proceeds 2
professor 3
promised 1
prove 1
pulpit 2
purpose 1
quest 1
reality 1
reappearance 1
reappears 1
reasons 1
recognize 1
recognizes 2
recovers 1
reflects 1
relationship 1
relationships 1
remarried 1
removes 1
renounces 1
representing 1
residents 1
rest 2
retreating 1
return 2
returning 1
returns 1
revealed 3
reveals 3
rights 1
river 1
rumor 1
scene 2
search 1
seeks 1
seems 1
sentence 1
separate 1
severely 2
she 8
shocked 1
shortly 2
show 1
shows 1
sickness 1
silas 2
silvery 1
simple 1
sisterhood 1
sisters 1
situation 1
so 1
social 1
solely 1
soon 1
sort 1
spies 1
spring 1
starts 1
staying 1
story 6
stranger 1
strong 1
successfully 1
such 1
suicide 1
switches 1
switching 1
takes 2
tale 1
talking 1
tell 1
telling 1
tells 2
tension 1
that 9
the 57
their 10
them 2
then 4
there 2
they 7
this 2
thoroughly 1
though 2
three 2
through 2
throughout 1
to 19
together 1
tree 1
turning 1
turns 2
two 1
unannounced 1
unnamed 1
up 2
utopian 1
veil 3
veiled 4
version 1
view 1
visits 1
voyage 1
voyeurism 1
was 2
ways 1
wealthy 1
well 1
westervelt 5
when 7
where 3
whereabouts 1
whether 1
which 1
whilst 1
who 6
whose 1
will 1
window 1
windows 1
wisdom 1
with 8
witnessed 1
women 2
work 1
world 1
worldly 1
young 1
zenobia 18
