33457879
/m/0h95x28
/m/0h95x28
S.L. Bhyrappa

{"/m/02xlf": "Fiction"}
a 1
about 1
across 1
among 1
and 1
appaji 1
around 1
benefit 1
brotherinlaw 1
college 1
dialect 1
doctor 1
drshivappa 1
elder 1
election 1
for 1
from 1
gains 1
gowdru 1
graduate 1
help 1
his 1
immense 1
in 3
influential 1
interest 1
is 1
it 1
its 1
kallamma 1
kannada 1
karnataka 1
keen 1
kumara 1
language 1
love 1
medical 2
minister 1
mother 1
mysore 1
naagaravalli 1
near 1
novel 1
of 1
people 3
politically 1
popularity 1
prakasha 1
putta 1
puttakka 1
r 1
ramalingappa 1
rangalakshmi 1
rangapura 1
revolves 1
s 1
saadaravalli 2
sannaiah 1
shivappa 7
sister 1
society 1
starts 1
story 1
tammaiah 1
the 7
their 1
to 1
tumkur 2
upcoming 1
uses 2
village 2
villages 1
who 2
