25496585
/m/09rx2gv
/m/09rx2gv
Steve Hockensmith
2010-03-23
a 10
across 1
affections 1
after 1
against 1
all 1
alternative 1
an 4
and 9
any 1
are 3
area 1
arrives 1
art 1
as 4
attending 1
be 1
becomes 2
before 1
behead 1
bennet 2
besiege 1
bid 1
bitten 1
bodyguard 1
both 1
but 1
by 4
cannon 1
captain 1
capture 1
coffin 1
continues 1
cowardice 1
daughters 1
dead 1
decides 1
described 1
despite 1
dojo 1
domesticating 1
dr 2
drawing 1
dream 1
elizabeth 4
else 1
end 2
england 2
ensign 1
escapes 1
estate 1
even 2
event 1
events 1
eventually 1
everyone 1
expert 1
family 1
fat 1
feigns 1
fighting 1
fights 1
finally 1
find 1
five 2
for 3
forced 1
from 1
funeral 1
further 1
get 1
gets 1
girls 1
grace 1
greenhouse 1
hawksworth 6
he 3
her 1
him 1
himself 1
hires 1
his 6
in 7
incompetence 1
injured 1
into 1
is 1
jane 2
katana 1
keckilpenny 5
keep 1
knee 1
known 1
leaving 2
lieutenant 1
lord 2
low 1
lumpley 2
managed 1
martialarts 1
master 2
meanwhile 2
menace 1
moral 1
mr 2
mrs 1
must 1
named 1
never 1
nobleman 1
novel 1
obvious 1
of 4
officer 1
old 1
older 1
others 1
place 1
plague 2
plots 1
pratt 1
prejudice 1
present 1
pride 1
promise 1
regencyera 1
reinforcements 2
research 2
ripped 1
rises 1
saved 1
scientist 1
set 1
shreds 1
sister 1
smith 1
soon 1
spawned 1
spread 1
standards 1
subject 1
suitably 1
suitors 1
summon 1
takes 1
teach 1
that 2
the 18
this 1
tindall 1
to 11
train 1
troubles 1
turns 1
universe 1
usual 1
version 1
vie 1
warrior 1
wealthy 1
wellknown 1
when 1
where 1
which 1
while 1
with 3
without 1
years 1
young 2
zombie 3
zombiekilling 1
zombies 6
