722248
/m/035ph8
/m/035ph8
Robert Putnam
2000
{"/m/06n6p": "Social sciences", "/m/05h83": "Non-fiction"}
13 2
15 2
150 1
160s 1
20 1
3 1
35 1
36 1
37 1
a 3
accepts 1
act 1
active 1
affect 1
aggregate 2
all 1
alone 2
alongside 1
also 1
although 1
america 2
americans 4
an 2
and 9
article 1
as 1
asks 1
aspects 1
associations 2
attendance 1
attributed 1
be 1
believes 3
bowl 3
bowling 2
but 1
by 1
can 1
capital 7
changes 2
cites 1
citizens 1
civic 5
civil 1
closer 1
closes 1
committees 1
contrasts 1
could 2
countertrends 1
create 1
data 2
decay 1
decline 3
declined 1
declining 1
decreased 2
democracy 2
demographic 1
described 1
discovering 1
discusses 1
discussions 1
disengaged 1
distrust 1
do 1
educate 1
emphasizing 1
engagement 2
engaging 1
enrich 1
environment 1
equality 1
eroding 1
eventually 1
ever 1
example 1
existing 1
explanation 1
fabric 1
forms 2
found 1
from 2
general 1
government 1
greatest 1
groups 1
growing 1
has 5
have 2
he 6
helmets 1
his 1
how 2
hypothesis 1
if 1
illustrate 1
impact 1
importance 1
in 16
including 1
increased 1
increasing 1
individual 1
individualizing 1
individuals 1
inperson 1
instead 1
interaction 1
intercourse 1
internet 1
into 1
involvement 1
is 3
it 1
its 1
lack 1
last 1
league 1
leagues 1
leisure 1
limited 1
litany 1
little 1
lives 1
long 1
looks 1
loss 1
made 1
many 1
massmembership 1
meeting 1
membership 4
might 1
migrated 1
movement 1
nonprofit 1
not 2
notes 1
number 3
obvious 1
occur 1
of 23
on 2
organizations 6
other 3
our 1
out 1
par 5
par3 1
paragraph 1
participate 1
parties 1
people 3
points 1
policy 1
political 3
possibility 1
problematic 1
proving 1
public 2
putnam 8
question 1
reality 1
reduction 1
repotting 1
requires 1
reverse 1
scandals 1
see 1
serving 1
shows 1
since 2
social 13
sort 1
states 2
strong 1
studies 1
succeeding 1
suggests 1
support 1
survey 1
surveys 1
technological 1
technology 1
television 1
that 5
the 29
their 2
then 2
thesis 1
they 1
this 4
time 1
to 7
traditional 1
tragedies 1
trend 1
trends 1
trust 1
turnout 1
undermines 1
united 2
upon 1
us 2
used 1
uses 1
various 1
via 1
viewing 1
virtual 1
voter 1
ways 1
when 1
which 4
who 2
why 2
wider 1
with 1
women 1
workforce 1
working 1
years 1
