33746945
/m/0hhptys
/m/0hhptys
Michael Hardcastle

{"/m/05hgj": "Novel"}
173 1
174 1
a 4
abel 1
abelsmith 1
about 1
after 1
ahead 1
and 6
as 1
attempt 1
away 2
back 1
being 1
book 2
characters 1
create 1
dropped 1
enter 1
features 1
fellow 1
finally 1
fiveaside 1
follows 1
football 1
footballer 1
forces 1
former 1
from 4
get 1
getting 1
hardcastle 1
his 1
home 3
humiliation 1
in 1
including 1
is 1
joining 1
junior 1
knowledge 1
league 1
lester 1
manchester 1
new 1
nick 1
obstacles 1
of 4
on 1
opportunity 1
overcome 1
overcoming 1
parent 1
prove 1
recurring 1
respective 1
rowan 1
series 2
sewell 1
sixth 1
smith 1
steve 2
story 1
swifts 1
take 1
team 1
teammates 1
teams 1
the 8
their 4
they 2
to 3
tournament 2
town 1
united 1
without 1
worth 1
young 1
