12907806
/m/02xcbm0
/m/02xcbm0
Jodi Picoult
1995

a 10
about 3
after 5
again 3
agrees 2
air 1
alex 22
all 1
always 1
amnesia 1
and 20
angeles 1
announcing 1
another 1
anthropologist 1
any 1
anything 2
apart 1
appear 1
around 1
as 3
asks 1
at 3
atop 1
awakes 1
baby 2
back 1
barrett 1
bathroom 1
be 2
beat 1
beatings 1
beats 1
because 1
been 1
before 1
begs 1
bel 1
believe 1
birth 1
both 1
breaks 1
but 2
by 2
calls 2
can 1
cant 5
cassie 13
celebrity 1
close 1
come 1
coming 1
concerning 1
conference 1
connor 3
could 1
crowd 1
cruelty 1
dakota 1
deep 1
details 1
disappearance 1
divorcing 1
do 3
even 3
ever 1
extreme 1
falling 1
father 1
finally 1
finding 2
flees 1
fly 2
flying 2
for 3
forcing 1
free 1
from 2
giving 1
go 3
gradually 1
grave 1
grounds 1
grows 1
had 1
halflakota 1
happiness 1
has 2
hate 1
have 1
he 13
her 17
herself 1
hides 1
him 8
his 1
holds 1
hollywood 1
home 2
horse 1
horses 1
house 1
however 1
hurt 1
husband 1
i 1
id 1
if 2
in 5
is 10
isnt 1
it 3
kill 1
knows 3
la 1
lakota 1
later 2
leave 2
led 1
left 3
let 2
life 2
live 1
lives 1
los 1
lost 1
love 2
loves 1
loving 2
lying 1
make 1
makes 1
mansion 1
me 1
meant 1
meanwhile 1
memories 1
moment 1
month 1
more 2
never 2
night 2
not 2
of 7
officer 1
on 3
only 1
or 1
oscars 2
out 1
outside 1
people 1
perfect 3
picture 2
police 1
positive 1
pregnancy 1
press 1
promise 2
promises 2
protect 2
proud 1
realises 1
realizes 1
recall 1
received 1
relationship 1
remembers 2
renowned 1
replies 1
reporter 1
reporters 1
reputation 2
reservation 2
retrieved 1
return 2
returning 1
returns 1
reunite 1
right 1
rivers 1
romance 1
ruin 1
rumours 3
said 1
say 2
says 3
see 1
sees 1
she 33
shortlived 1
showing 1
shows 1
situation 1
so 1
something 1
son 2
south 1
stay 1
stop 2
stops 1
story 1
suffering 1
taken 1
tanzania 1
tarnishing 1
tell 1
tells 4
test 1
than 1
that 7
the 11
their 5
therapist 1
therapy 1
there 1
they 3
this 3
though 1
three 1
to 21
together 1
truly 1
try 1
two 1
unable 1
unconditional 1
unfortunately 1
until 2
up 2
us 1
weeks 1
what 2
when 1
where 1
whereabouts 1
whether 1
while 1
whirlwind 1
who 1
why 1
will 4
winning 1
with 3
without 2
wont 3
would 4
yet 1
you 1
