17203281
/m/04czd3m
/m/04czd3m
Ivan Turgenev


17yearold 1
1840s 1
21yearold 1
2yearold 1
a 5
admirer 1
affair 1
aleksei 5
and 4
are 1
arise 1
arkadi 2
arrival 1
as 3
attentions 1
begins 1
belyaev 1
bored 1
boredom 2
both 1
but 3
closer 1
country 1
daughter 1
develop 1
devoted 1
does 1
draw 1
drift 1
ends 1
estate 1
ever 1
falls 1
for 2
foster 1
friendship 1
handsome 1
have 1
headstrong 1
her 6
hers 1
herself 1
his 2
household 1
in 2
into 1
is 2
islaev 2
islaevs 1
kolya 1
landowner 1
leave 1
letting 1
life 2
love 3
married 1
marry 1
members 1
mikhail 1
misunderstandings 1
natalya 5
neighbour 1
obliged 1
of 5
off 1
old 1
other 1
own 1
petrovna 1
proposes 1
rakitin 3
remains 1
resentful 1
returns 1
rich 2
rid 1
rival 1
rivalry 1
senior 1
setting 1
seven 1
she 2
should 1
so 1
son 1
state 1
struggles 1
student 1
suspicions 1
that 1
the 9
their 2
to 7
tutor 1
unresolved 1
vera 3
ward 1
welcomes 1
when 1
while 1
with 4
without 1
worlds 1
wrestles 1
years 1
