53720
/m/0f24d
/m/0f24d
Georges Perec
1978
10 1
11 4
16 1
175 1
20 1
20year 1
43th 1
50 1
500 1
a 16
about 1
absolutely 1
after 2
also 4
an 1
and 10
another 1
applied 1
around 1
art 2
attempt 1
back 2
barnabooth 1
bartlebooth 9
bartleby 1
be 1
become 1
becomes 2
behind 1
betraying 1
between 1
blank 1
blind 1
board 1
both 1
burned 1
by 2
carefully 1
change 1
characters 1
colors 1
combines 1
couriered 1
craftsman 1
crazed 1
cut 1
cuts 1
day 1
destroying 1
detergent 1
devises 1
dies 1
different 1
difficult 1
dissolve 1
each 3
embarks 1
englishman 1
entire 1
every 1
exactly 1
except 1
faint 1
fanatic 1
fear 1
finish 1
finished 1
first 1
for 5
forced 1
fortune 1
france 1
from 1
furnace 1
gaspard 1
georges 1
glued 1
have 1
he 5
herman 1
him 1
himself 1
his 9
holding 1
hole 1
i 1
ii 1
in 8
increasingly 1
instead 1
intervenes 1
into 1
invented 1
involved 1
ironically 1
is 13
it 4
jigsaw 2
larbaud 1
last 1
learning 1
leave 1
letter 2
life 1
literary 1
locally 1
loyal 1
mark 1
marks 1
melville 1
months 1
morellet 1
name 1
named 1
no 1
nothing 1
occupy 1
of 13
on 2
paint 1
painted 2
painting 4
paper 3
piece 1
placed 1
plan 1
plans 2
port 2
project 1
puzzle 4
puzzles 1
rebind 1
recreating 1
rejoined 1
remainder 1
removed 1
resident 4
return 1
returned 1
roughly 1
rue 4
scene 1
sea 1
selected 1
sends 1
sent 1
servant 1
shape 2
show 1
simoncrubellier 4
smautf 1
solution 3
solving 1
special 1
spend 1
spends 2
stop 1
support 2
task 1
that 2
the 27
then 2
there 1
those 1
time 1
to 12
total 1
treated 1
tremendously 1
trip 1
tutelage 1
two 2
ultimately 1
under 1
unfortunately 1
until 1
upon 1
valery 1
valne 1
w 1
war 1
was 3
watercolor 1
watercolors 3
wealthy 1
weeks 1
where 3
while 2
who 1
whose 1
will 1
winckler 2
with 2
wooden 1
work 1
world 3
would 2
x 1
years 3
