13508402
/m/03c7n6d
/m/03c7n6d
Richard Laymon

{"/m/014dfn": "Speculative fiction", "/m/03npn": "Horror", "/m/02xlf": "Fiction"}
a 6
abuse 1
after 1
along 1
alongside 1
and 3
anyway 1
are 1
around 1
arrive 1
as 1
attempts 1
attending 1
be 3
begin 1
board 3
book 1
but 1
butler 3
by 1
calamity 1
called 1
can 1
childhood 1
college 1
common 1
contact 1
contains 1
dangerous 1
discovering 1
dissuade 1
elements 1
english 1
experience 1
for 1
frankly 1
from 1
go 1
harm 1
her 2
homicidal 1
horrors 1
identifies 1
if 2
including 1
is 1
itself 1
kids 1
killer 1
knows 1
laymon 2
location 1
lover 1
machetewielding 1
maniacs 1
many 1
menaced 1
messing 1
might 1
missing 1
more 1
mountain 2
novels 1
of 2
off 1
once 1
one 1
only 1
ouija 2
out 1
party 1
peak 1
professor 2
professors 1
promises 1
rape 1
realistic 1
remote 1
rescue 1
set 1
sets 1
sexual 1
six 2
soon 1
spirit 1
steal 1
students 2
supernatural 2
that 3
the 10
their 1
them 2
they 3
thrown 1
to 7
treasure 1
trying 1
unlike 1
use 1
while 1
who 1
will 1
with 2
wonder 1
work 1
