11660900
/m/02rn1mt
/m/02rn1mt
Susan Warner
1850
{"/m/05hgj": "Novel"}
a 14
able 2
about 2
acquainted 1
act 1
actually 1
adopts 1
advisor 1
after 7
age 1
alice 13
almostunknown 1
also 3
america 3
american 1
an 4
and 36
another 1
anything 1
apart 1
are 4
as 10
aside 1
asking 1
asks 1
at 3
attend 1
aunt 8
aunts 2
away 1
based 1
be 6
become 4
becomes 3
begins 2
being 3
better 1
bible 1
boat 1
book 1
bringing 1
brother 1
brunt 2
brunts 1
business 1
but 5
by 4
call 1
can 2
chance 1
chapter 1
chauncey 1
children 1
choose 1
christian 2
christmas 1
cleaning 1
comes 3
comfort 2
comforts 1
coming 1
company 1
conversation 1
crying 2
daily 1
daughter 2
day 5
decides 2
delightful 1
denounce 1
determined 1
devastated 2
died 1
dies 3
different 1
discourage 1
discovering 1
disrupted 1
done 1
dont 1
during 2
educate 1
ellen 39
ellens 4
emerson 1
emotional 1
end 1
england 1
escorts 1
europe 1
eve 1
even 2
eventually 2
everything 1
express 1
fact 1
faith 3
familiar 1
family 2
fast 1
father 3
few 1
final 1
find 3
finds 1
first 1
fond 1
for 8
force 1
forever 1
forgive 1
forgot 1
fortune 6
found 1
friends 3
from 5
gets 1
girls 1
give 2
gives 1
go 2
god 2
going 1
goodbye 1
grandmother 1
grieve 1
guidance 1
guide 1
guiding 1
had 1
hadnt 1
handle 1
happy 1
hard 2
has 2
hates 1
have 1
he 4
heart 1
heaven 1
help 1
her 53
him 4
his 1
home 5
honor 1
hours 1
house 1
household 1
humphreys 7
identity 1
if 2
ill 3
immediately 1
important 1
in 15
inform 1
into 2
introduces 1
invites 2
inviting 1
is 9
it 1
jesus 1
john 12
journey 1
keep 2
keith 1
kind 1
ladies 1
lady 1
later 1
learns 1
leave 2
let 1
letter 1
letters 2
life 2
light 1
like 1
lindsay 2
lindsays 5
little 1
live 6
lives 1
living 1
local 1
look 1
lord 1
loving 1
makes 1
man 2
many 1
marry 1
marshmans 1
maybe 1
meets 2
met 1
might 1
minister 1
misses 1
montgomery 3
more 2
mother 8
mothers 1
moves 1
mr 5
mrs 2
much 1
must 6
nancy 1
nearby 1
needed 1
neighbors 1
never 1
new 2
next 1
night 1
not 2
nothing 1
nursing 1
of 12
offering 1
old 1
on 3
one 3
other 3
others 1
over 1
overhears 1
overseas 1
own 1
parents 1
party 1
person 1
place 2
possessive 1
promising 1
proves 1
quite 1
ready 1
realize 1
recovers 1
refers 1
refuses 1
relative 1
relatives 1
religion 2
reminds 1
requiring 1
rest 1
return 2
returns 2
reunion 1
runs 1
sad 1
sake 1
say 1
school 2
scotland 2
see 2
sees 1
send 1
sentimentalism 1
separated 1
set 1
sharing 1
she 21
shows 1
sister 1
so 2
society 1
solace 1
some 1
someone 1
soon 4
spend 1
spiritual 1
spiritually 1
stays 1
still 1
story 1
strangers 2
strength 1
strong 1
stronger 1
studying 1
surroundings 1
take 2
takes 1
talking 1
taught 1
tea 1
teaches 1
teaching 1
tease 1
tell 1
tells 2
than 1
that 10
the 33
their 3
them 2
there 2
these 1
they 8
thirwall 2
this 1
though 2
through 1
time 2
times 1
to 51
together 1
town 2
travel 2
traveling 1
treat 1
treats 1
tries 3
troubles 1
true 1
trust 3
try 1
turns 2
tutor 1
uncle 1
unfortunately 1
unkind 1
unkindly 1
unpublished 1
unsuccessful 1
until 1
up 1
van 3
ventnor 1
very 3
visits 2
was 1
weeks 1
welcome 1
when 4
where 1
which 2
while 2
who 2
wide 2
will 3
wish 1
wishes 1
with 12
withheld 1
without 2
woods 1
work 1
world 1
would 1
year 1
years 2
young 1
