61324
/m/0gmnj
/m/0gmnj
Booth Tarkington
1921-06
{"/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction", "/m/01qxvh": "Romance novel", "/m/05hgj": "Novel"}
300 1
350 1
a 26
abandons 1
able 1
about 9
accepts 1
accompany 1
act 1
acting 1
adams 9
adamses 1
advance 1
affairs 1
afford 2
afloat 1
africanamerican 1
after 2
again 3
alice 16
all 2
alone 1
although 1
amount 1
an 5
and 30
another 1
anyone 2
apparent 1
appearance 1
arrange 1
arranges 2
arrives 1
arthur 14
as 8
assumes 1
at 7
attempts 1
attentions 1
attitude 1
back 2
bad 1
ballroom 1
be 8
becomes 1
bed 1
before 2
began 1
begins 1
behind 2
being 2
believe 1
believes 1
between 3
bids 1
boarders 1
book 2
both 1
bouquet 1
briefthere 1
brother 1
business 2
businessman 1
but 3
buy 2
by 6
can 2
cannot 3
capped 1
cash 2
change 1
chord 1
class 1
cloakroom 1
collapses 1
college 2
come 1
compete 1
confined 1
confronted 1
confronts 1
continues 4
conversation 1
conversationwhile 1
convince 1
could 1
courting 1
courtship 2
cover 1
dance 9
danced 1
dancing 1
daughter 2
day 5
days 1
debt 1
debts 2
decides 1
declined 1
demands 2
despite 1
developed 1
difficult 2
dinner 2
direction 1
disaster 1
discovers 1
disdainhe 1
distress 1
does 1
doesnt 1
dowling 1
down 1
downtown 1
drags 1
drive 1
earlier 1
economic 1
economically 1
either 1
elaborate 1
else 1
embarrassed 1
embarrassment 1
employ 2
employable 1
employer 1
encounter 1
encounters 2
end 1
engaged 1
enough 1
errand 1
escort 2
especially 1
even 1
evening 2
evenings 1
event 1
events 1
eventually 2
every 1
explaining 1
facetoface 1
fact 2
factory 6
family 12
far 1
farewell 1
father 4
fears 1
feels 1
finally 3
first 1
flowers 1
following 1
food 1
for 11
forces 1
frank 1
frantically 1
friend 1
frincke 2
from 6
gambling 2
girls 1
give 1
gives 1
glue 7
go 2
goad 1
goes 1
going 1
grave 1
handle 1
has 7
have 1
he 13
heads 1
heard 1
heavy 1
help 3
henrietta 1
her 20
herself 4
hideous 1
him 7
himself 2
hired 1
hiring 1
his 16
home 3
horribly 1
hot 1
house 2
how 2
huge 1
humble 1
illness 1
image 1
impressed 1
impression 1
improvements 1
in 12
including 1
increasingly 1
initially 2
insisted 1
insists 1
interest 1
into 4
invented 1
invited 1
is 17
it 6
its 1
itself 1
j 3
ja 1
jail 1
keep 3
know 1
ladies 1
lamb 12
later 1
leaves 1
leaving 1
lies 3
like 2
lizzie 1
long 1
lowermiddleclass 1
made 1
make 1
man 3
manage 1
massive 1
meal 1
meanwhile 1
meet 1
mentions 1
mildred 5
miss 1
mixed 1
money 1
morning 1
mortgage 2
mr 1
mrs 3
needs 1
never 2
newcomer 1
next 1
night 2
no 2
nor 1
not 8
nothing 1
novel 1
now 1
number 1
obscure 1
obscurity 1
obvious 2
occur 1
of 15
off 2
old 1
on 6
once 1
one 2
opening 1
operation 1
opinion 1
or 1
other 1
out 4
over 3
overhears 1
own 1
paid 1
palmer 1
part 1
passing 1
pay 3
peace 1
peacefully 1
people 1
persuades 1
pick 1
pity 2
place 1
planning 1
pleased 1
point 1
polite 1
possibility 1
preparing 1
preserve 1
press 1
pressures 1
prevails 1
price 1
proddings 1
production 1
promising 1
prostitute 1
puts 1
quit 1
rather 1
reaches 1
reaction 1
rebuffed 1
recipe 3
recovering 1
reeling 1
refuses 2
relatively 1
reluctant 1
renewed 1
rents 1
repeated 1
request 1
resign 1
results 1
return 2
returns 2
revealed 1
rich 1
risen 1
road 1
romance 1
rumored 1
russell 3
same 1
say 3
scale 1
secret 2
see 2
seems 1
sees 1
self 1
servants 4
sets 1
setting 3
several 1
she 21
should 1
shows 1
shudder 1
sickbed 1
skills 1
skipped 1
so 3
son 1
speaking 1
spend 1
spends 2
spinning 1
spoken 2
stand 1
standing 1
state 2
status 1
steal 1
stiff 1
still 1
stolen 1
strikes 1
success 1
such 2
sufficient 1
support 1
surly 1
take 1
takes 2
talks 1
tells 2
tension 1
than 1
that 22
the 64
their 2
them 2
there 1
these 1
things 3
this 2
throughout 1
thrown 1
ticket 1
time 1
tin 1
to 56
too 1
total 1
towards 1
town 4
train 1
trick 1
true 1
unbearably 1
uncomfortable 1
under 1
uneasy 1
unnamed 1
until 1
unwittingly 1
up 4
upon 1
upper 1
uses 2
violets 1
virgil 12
virtually 1
walk 1
walking 2
walter 13
wants 1
warning 1
was 1
way 1
wear 1
web 1
welcome 1
well 2
welltodo 1
what 2
when 2
where 2
which 5
while 1
who 6
whose 1
why 1
wife 2
will 9
wish 1
with 11
without 4
woman 1
wont 1
word 1
work 2
working 1
works 1
would 3
years 2
young 3
