16271091
/m/03wflm5
/m/03wflm5
Michael Gerard Bauer
2006
{"/m/03mfnf": "Young adult literature"}
a 15
about 4
acts 1
after 1
ailment 1
an 2
and 10
apparent 1
appearance 1
area 1
as 2
at 1
avoid 1
bad 1
bagsley 1
barry 12
because 5
become 1
becomes 1
before 1
believe 1
believed 1
bill 2
born 1
boy 4
brain 2
bully 2
bullying 1
bursting 1
but 2
by 1
called 3
capable 1
ceremony 1
certificate 1
changes 1
character 2
chronic 1
class 2
coming 1
completely 1
course 1
damaged 1
day 2
debating 2
decides 1
desk 1
destroying 1
disaster 1
does 2
during 1
ecstatic 1
endofyear 1
eventually 1
extravaganza 1
fall 1
faulkner 1
fear 1
fearless 1
fearlessness 1
feels 1
finally 1
first 1
for 2
four 1
fourteen 1
friend 1
friends 3
frightened 1
from 5
game 1
geek 1
girl 1
given 1
gives 1
had 1
happiness 1
has 1
have 1
he 13
her 1
hilarious 1
him 2
his 14
however 2
humiliate 2
humour 1
ignatius 1
imbecile 1
in 4
independent 1
innocent 1
insects 1
intervenes 1
into 1
invents 1
invisible 1
invited 1
is 7
ishmael 13
it 1
james 6
joins 1
just 1
kelly 2
kingsley 1
last 1
later 2
leseur 1
lesuer 1
letter 2
level 1
life 1
lot 1
love 1
main 2
make 1
match 1
miss 1
mobydick 2
mock 1
more 1
name 3
named 1
names 1
nerd 1
new 1
nine 4
no 1
normal 1
not 5
novel 2
of 10
old 1
on 3
once 1
only 2
openended 1
or 1
orazio 1
otherwise 1
out 1
outgoing 1
oval 1
overweight 1
parents 2
part 1
participate 1
party 1
people 1
performed 1
person 3
point 1
prayer 2
prindabel 1
puts 1
reads 1
realizes 1
receives 1
registering 1
responds 1
rugby 1
ruin 1
runs 1
saved 1
say 1
says 1
scale 1
scene 1
school 4
scifi 1
scobie 2
secondary 1
sees 1
selfdiagnosed 1
she 2
showed 1
sister 1
smart 1
spiders 1
stand 1
starts 1
sufferer 1
swears 1
symptoms 1
syndrome 2
tarango 1
target 1
taunts 1
teacher 1
tease 2
teases 1
tells 2
thanks 1
that 7
the 25
then 1
thingy 1
to 11
tries 1
tumour 1
turning 1
until 1
up 1
very 1
walking 1
want 1
was 3
week 1
weight 1
when 1
which 2
who 2
whole 1
will 1
with 4
worked 1
world 1
year 4
years 1
zorzotto 1
