204232
/m/01c_bp
/m/01c_bp
George Zebrowski
1979-05
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
2021 1
3000 1
500 1
a 16
adding 1
adds 1
after 2
aftereffects 1
again 1
aggregate 2
aggressive 1
alien 1
all 3
alpha 1
amalgam 1
amongst 2
an 4
and 20
any 1
are 4
around 1
arrival 1
as 3
assumed 1
asteroid 1
asterome 11
at 3
attempts 2
available 1
away 1
back 2
be 1
becomes 1
before 1
begin 1
beginning 1
best 1
beyond 1
billion 1
build 1
bulerite 6
bulero 5
by 3
can 3
cause 1
causing 1
centauri 1
challenges 1
cities 1
clone 1
coincides 1
colonies 4
colony 3
combination 1
concentric 1
conquer 1
consolidating 1
construction 1
contract 1
control 2
culture 1
cybernetic 1
cycles 1
dead 1
death 2
decide 1
decides 1
descendants 1
destabilization 1
destabilizes 1
destroyed 1
destruction 1
devastation 2
discover 1
discovered 2
dominant 1
dream 1
earth 7
enable 1
end 1
engines 1
ensure 1
envelop 1
escape 1
events 1
eventually 2
existed 1
expansion 1
experiences 1
experimenting 1
explode 1
explore 1
explosions 1
faced 1
family 1
familycorporation 1
far 1
final 2
finally 1
finds 1
finished 1
first 1
flawed 1
for 5
form 1
from 1
further 1
goods 1
government 1
gradually 1
grow 1
grown 1
handling 1
has 3
have 2
heading 1
help 2
him 1
his 1
hollowedout 1
host 1
house 1
how 2
huge 1
human 1
humanity 1
humans 3
hundred 1
hyperpersonal 1
i 1
ii 2
iii 1
in 4
included 1
increasingly 1
individual 1
individuals 1
influence 1
influx 1
inherently 1
inside 1
intelligent 1
intermingling 1
into 3
invention 1
inventors 1
is 12
it 3
its 1
itself 3
john 2
kinds 1
l5 1
late 1
later 1
layers 1
leadership 2
leave 1
leaving 1
life 2
light 2
like 1
lives 1
longer 1
macrolife 5
made 1
main 1
manage 1
manages 1
mankind 1
many 4
marketers 1
mars 1
means 1
meet 1
megadeath 1
millions 2
missiles 1
moon 2
most 2
mysterious 1
natives 1
nearest 1
no 1
novel 1
now 4
nuclear 1
nucleartipped 1
of 28
on 7
one 1
option 1
orbiting 2
organisms 1
original 1
outer 2
over 1
overcoming 1
part 1
passed 1
pinnacle 1
planet 3
planets 1
plunder 1
point 1
possible 1
praesepe 1
precipitates 1
preventing 1
previous 1
problem 1
process 1
propulsion 1
providing 1
proving 1
radiation 1
refugees 3
reindividualizes 1
remnants 1
removing 1
resources 1
results 1
reverted 1
savagery 1
second 1
sections 1
see 2
selfdestructs 1
several 1
severe 1
shells 1
shortterm 1
should 1
shroud 1
situated 1
solar 6
solve 1
space 1
species 2
spectacular 1
speed 1
split 1
stage 1
star 2
stop 1
struggle 1
studying 1
substance 1
sunspace 1
supply 1
surpass 1
survival 1
survive 2
survivors 1
system 6
take 1
teeming 1
that 7
the 53
their 3
them 5
there 1
they 1
this 2
thousand 1
three 1
throes 1
throughout 2
time 4
to 20
together 1
too 1
tragic 1
travels 1
unfolded 1
unfortunately 1
universe 4
unstable 1
up 1
used 2
war 2
way 1
wealth 1
well 1
what 1
when 1
which 5
while 2
who 2
whom 1
wide 1
with 8
years 3
young 1
