12188761
/m/02vtvs5
/m/02vtvs5
Jeffery Deaver
2002
{"/m/0lsxr": "Crime Fiction", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 21
ability 1
aboard 1
accomplice 3
actually 2
adoption 1
affects 1
afloat 1
after 3
against 1
agent 1
airport 2
alan 1
all 1
allowed 1
also 1
always 1
amelia 2
america 2
ammo 1
an 4
and 46
apartment 1
apparently 1
apprehend 1
approaching 1
are 8
arresting 1
arrests 1
arrive 1
arrives 1
as 8
asks 1
asylum 1
at 4
attack 1
attempt 1
awarded 1
away 2
baby 1
back 2
be 3
beach 1
because 1
been 1
before 2
being 2
better 1
boat 1
book 1
both 1
but 2
by 4
captured 1
car 1
chance 1
chang 4
changs 4
china 2
chinese 1
church 1
claiming 1
clinging 1
coastguard 1
coe 4
coming 1
confides 1
confront 1
confronts 1
consider 1
contact 1
continue 2
conventional 1
conversation 1
corruption 1
crew 2
cunning 1
current 1
cut 1
daughter 1
dead 1
deathhe 1
deduces 1
deliberately 1
described 1
detective 1
detention 2
disagrees 1
discover 2
discovered 2
dives 1
do 1
doesnt 1
down 4
drink 1
drugged 1
due 1
during 1
earlier 1
early 1
end 1
ends 1
energy 1
entry 1
escape 1
escapes 2
escaping 2
evidence 3
eyelids 1
fails 1
families 2
family 2
father 4
finally 1
finding 1
finds 1
fires 1
flat 1
fled 1
flees 1
focus 1
follow 1
following 1
for 4
from 4
full 1
gains 1
gang 1
gate 1
get 2
ghost 22
gone 2
government 1
guards 1
gui 1
gun 2
had 2
has 3
have 5
having 1
he 21
heading 1
hear 1
hearing 1
her 2
here 1
hideout 1
hiding 5
high 2
him 8
himself 3
his 13
hit 1
hitman 1
horrified 1
hospital 1
however 4
huge 1
human 2
hunted 1
illegal 1
immigrant 1
immigrants 4
in 17
ins 3
inside 1
insignificantly 1
inspired 1
intellectual 1
intent 1
intention 1
intercepted 1
into 6
investigation 1
is 21
it 4
john 3
journey 1
jumped 1
keeps 1
kill 3
killed 2
killing 3
kills 1
knives 1
knows 2
land 1
last 1
later 4
lead 1
leads 1
leave 1
leaves 1
leaving 2
less 1
level 2
li 3
liferaft 1
lincoln 1
local 1
lovers 1
man 1
mans 1
masquerade 1
matters 1
may 1
meanwhile 2
meet 2
members 1
methods 1
morphine 1
mother 1
move 1
name 1
near 1
not 2
novel 3
of 15
off 1
officer 1
on 10
once 1
one 1
only 1
onto 2
others 1
out 5
over 1
overdose 1
oversees 1
partners 1
person 1
personal 3
personnel 1
phones 1
placed 1
planning 1
point 1
police 4
predicts 1
prepares 1
preparing 1
previous 1
provided 1
pulled 1
pulls 2
purely 1
puts 1
race 1
rapidly 1
reader 1
real 1
reasons 1
release 1
relief 1
rescue 1
research 1
respect 1
results 1
retirement 1
reveal 1
revealed 2
revealing 1
rhyme 11
rhymes 1
right 1
rocks 2
round 1
running 1
ruthless 1
sachs 8
safehouse 1
safehouses 2
sam 2
scene 4
scuttle 1
sea 2
search 1
security 1
see 1
sees 1
selling 1
sends 1
several 3
she 4
ship 3
shoots 3
shore 6
shot 4
smuggled 1
smuggler 1
smugglers 1
some 2
something 1
sonny 4
spectac 1
spins 1
spots 1
spreads 1
sr 1
start 1
state 1
steal 1
steals 1
still 1
stolen 1
stop 1
street 1
sung 8
supposedly 1
surgery 1
swoop 1
take 1
taken 2
takes 1
taking 1
tea 2
team 1
tell 1
tells 1
that 7
the 81
their 2
them 5
then 1
there 1
they 13
thinking 1
this 4
thought 1
through 1
thrown 1
to 35
together 1
tortured 1
trace 1
track 2
tracks 1
trains 1
traitor 1
traitorous 1
translated 1
translator 1
trick 1
tried 2
try 1
turns 1
two 2
uncovered 1
undercover 1
undergoing 1
undocumenteds 1
unwilling 1
up 2
usa 1
using 1
van 1
vendetta 1
via 1
wait 1
wanted 1
was 2
washed 1
we 2
weapon 1
well 1
where 2
which 1
white 1
who 8
whose 1
wife 1
will 3
with 6
without 1
work 1
wu 2
