4370922
/m/0bzpqc
/m/0bzpqc
Robert Holdstock
1988
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 16
alive 1
all 1
allow 2
also 2
an 5
ancient 1
and 12
appears 1
are 2
as 9
asks 1
azure 1
bark 1
battlefield 1
be 2
beechwood 1
before 1
behind 1
beneath 1
bird 1
blood 1
book 2
both 1
british 1
brother 1
but 3
can 1
cannot 1
certain 1
changes 1
characters 1
child 1
chthonic 1
circles 1
collected 1
colored 1
composer 2
connections 1
context 1
create 1
creates 1
cunhaval 1
days 1
dead 1
deep 1
dog 1
during 1
dying 1
each 1
edward 1
elder 1
elm 2
encounter 1
encounters 1
engage 1
especially 1
even 1
eventually 1
face 1
falkenna 1
faroff 1
female 1
find 1
first 4
flesh 1
flight 1
folk 1
following 1
foot 2
forest 2
formative 1
forming 1
from 10
front 1
gaberlungi 1
gains 1
george 1
ghost 1
gray 1
green 1
harry 2
has 4
hawk 1
hazel 1
he 3
help 3
her 8
herself 2
him 2
his 1
hollower 1
hollowing 2
hollowings 1
hollows 1
how 1
human 1
hunting 1
huxley 1
identifies 1
importantly 1
in 13
included 1
intensify 1
into 4
is 15
its 2
journey 4
keeton 2
known 7
lament 1
land 2
landscapes 1
later 1
legends 1
like 1
link 1
links 1
living 1
lost 1
made 8
magic 1
major 1
makes 2
mask 11
masks 7
meets 1
memory 1
mentioned 1
merlin 1
might 1
misdirected 1
months 1
moon 1
moondream 1
morndun 1
most 1
movement 1
mythago 3
mythagos 1
name 1
norfolk 1
not 2
now 1
oak 1
observes 1
of 23
on 3
one 3
only 1
or 1
order 1
otherwise 1
painted 8
particular 1
parts 1
pathways 1
people 1
personally 1
places 1
plays 1
prominent 1
properly 1
ralph 1
real 1
red 1
region 4
repercussions 1
represents 1
rest 1
rivers 1
role 1
running 1
ryhope 3
salmon 1
scathach 1
scientist 1
second 1
see 1
seeing 1
seen 1
setting 1
shadow 1
shaman 1
she 6
short 1
silvering 2
simple 1
sings 1
sinisalo 1
skogen 1
slowly 1
small 1
so 1
song 2
space 1
step 1
story 5
studied 1
subconscious 1
surrounds 1
symbols 1
take 1
talismans 1
tallis 9
ten 2
that 6
the 39
them 1
these 2
they 1
things 1
thinks 1
third 1
this 12
three 3
through 3
time 1
to 8
tracks 1
travel 1
tree 1
tune 1
understanding 2
unknown 4
up 2
used 3
vaughan 1
village 1
warrior 2
was 1
weeks 1
when 1
which 5
white 3
who 1
williams 1
willow 1
with 7
within 4
without 1
wood 12
wooden 1
would 1
wych 1
wynnejones 1
years 1
young 2
