23247641
/m/065_sgn
/m/065_sgn
Desmond Bagley
1967
167 1
3 1
a 32
able 4
about 7
accident 1
accused 1
across 1
actually 2
adjoining 1
after 9
again 1
age 1
ago 2
all 5
along 1
also 6
although 2
an 1
and 67
another 2
any 2
anything 1
are 3
around 2
arrives 1
as 2
asks 2
at 5
attack 1
auto 2
b 1
back 9
badly 1
balance 1
be 9
beat 1
because 4
been 2
before 2
below 1
big 1
bit 1
blackmail 1
blanket 1
blow 1
bob 28
bobs 1
body 1
both 2
boyd 4
boys 1
brings 1
british 2
broken 1
build 1
building 2
bull 11
burned 1
business 1
businessman 1
but 5
by 10
called 1
camping 1
can 2
canadian 1
capture 1
captures 1
car 4
cellar 2
chance 1
charges 1
clare 9
clay 3
coast 1
collapses 1
collects 2
college 1
columbia 2
comes 1
complete 1
completing 1
condition 1
confirms 1
confronted 1
confronts 1
consulting 1
contact 1
contain 1
corporation 3
could 6
couldnt 1
country 1
course 1
cover 1
crash 4
crashed 1
create 2
criminal 2
dam 7
danger 1
daughter 1
daylight 1
dead 1
deadly 1
death 1
decide 4
decided 1
decides 2
decision 1
decisions 1
develop 1
did 2
die 1
died 4
distant 1
do 3
doctor 1
down 2
driven 1
dropped 1
drug 1
due 2
dug 1
ears 1
echoing 1
edition 1
elder 2
employees 1
end 1
enough 1
ensuing 1
escape 3
escapes 1
especially 2
evacuate 1
evacuation 1
eventually 2
everyone 1
everything 1
exams 1
except 1
experience 1
face 2
family 5
farrell 6
feels 2
few 1
fighting 1
finds 1
fit 1
five 1
flooded 1
focus 1
follow 1
following 1
for 7
forced 1
forest 3
forget 2
fort 6
forward 1
found 1
fourth 1
frank 4
free 2
from 7
further 1
future 2
gain 1
gained 1
geologist 1
get 7
gets 3
give 2
go 3
goes 1
grant 5
gunshots 1
had 11
happens 1
has 3
have 1
having 1
he 41
head 2
hear 1
hearing 1
heart 1
heartattack 1
helps 1
her 4
him 16
his 23
history 1
hit 2
hitchhiker 1
hitting 1
home 1
how 1
howard 5
howards 2
however 1
hunt 1
hunters 1
i 10
if 2
ignores 1
immediately 2
important 1
in 28
indeed 1
inform 2
insists 2
instead 1
intent 1
intention 1
interest 3
investigate 2
involvement 1
is 18
it 7
jail 1
job 1
john 7
keep 1
kill 1
killed 2
killing 1
knew 1
knowing 1
knows 3
land 6
last 1
later 1
learns 3
leave 1
leaves 2
led 1
lest 1
lied 1
life 3
likely 1
little 2
live 1
local 1
located 1
locks 1
look 1
lost 3
lot 3
mac 12
made 1
make 1
maneuvers 1
married 1
matterson 12
mattersons 9
mattersontrinavant 1
mcdougall 1
me 4
meanwhile 1
meeting 1
meets 1
memories 1
memory 2
men 1
minerals 1
miss 1
mistake 1
more 2
most 1
must 2
my 3
name 2
ne 1
near 1
nearby 1
never 2
new 5
news 2
newspaper 1
next 1
niece 1
no 3
none 1
normal 1
northeastern 1
northern 1
not 4
nothing 2
novel 1
now 2
occasion 1
occupants 1
of 28
off 1
officers 1
on 3
one 3
only 1
or 1
order 1
orders 1
other 4
out 1
owned 1
pack 1
panic 1
past 8
paycheck 1
people 1
perform 1
person 2
place 1
plan 1
planning 1
plans 1
plastic 1
poke 1
police 4
possible 1
precious 1
present 1
presumed 1
pretty 1
previously 1
prince 1
property 1
prospector 1
protagonist 1
provoke 1
psychiatrist 1
pursued 1
quick 3
quickly 2
quit 1
quite 1
races 1
reach 1
reaction 1
receives 1
reconsider 1
record 1
recuperating 1
refuses 1
reporter 1
reports 1
reprimanded 1
result 1
return 1
reveal 1
revealed 1
reveals 1
revolves 1
rid 1
riding 1
robert 5
romantic 1
round 1
rumor 1
run 1
rupert 1
same 1
samples 1
see 4
several 1
share 1
shivered 1
shocking 1
since 1
sleep 1
slightly 1
slug 1
small 2
so 1
soil 1
some 3
sometime 1
son 4
soon 1
sorry 1
sought 1
southwest 1
spread 1
spreads 1
square 2
stand 1
start 2
starts 3
stays 1
stewart 1
stick 1
still 1
stop 1
story 2
student 1
study 1
successful 1
successor 1
surgery 1
survey 6
surveyed 1
survived 2
survivor 1
susskind 6
take 1
taken 1
tell 1
tells 7
ten 1
terrible 1
territories 1
than 1
that 23
the 77
their 2
them 5
then 3
there 3
they 11
theyre 1
thinks 1
this 7
threaten 1
thrown 1
timber 1
time 6
to 54
together 5
told 1
toppled 1
touch 1
tough 1
towards 1
town 4
travelling 1
tries 2
trinavant 13
trinavants 4
trouble 1
try 1
unable 1
university 1
up 1
upset 1
urges 1
used 3
value 1
visit 1
want 1
wanted 1
warn 1
warns 1
was 9
way 1
wealth 2
were 3
west 1
what 1
when 2
where 3
which 3
while 1
who 5
whole 2
wife 1
with 9
woods 2
word 1
words 2
works 2
worry 1
would 6
wrapped 1
years 2
