4507275
/m/0c62_4
/m/0c62_4
Eric Flint
2002-08
1632 1
1633 1
17th 1
a 2
about 1
acts 1
actual 1
adolphus 1
advantage 1
affairs 1
aimed 1
alliance 1
allies 1
already 1
amsterdam 1
an 1
and 10
announces 1
as 1
at 2
attempts 1
battle 1
because 1
becoming 1
behind 2
belong 1
brought 1
by 1
called 1
cardinal 1
century 1
change 1
changes 2
citizens 1
completely 1
confederated 1
continues 1
courts 1
created 1
day 2
details 1
diverge 1
downtimer 1
dutch 1
effect 1
emissaries 2
emissary 1
encyclopedias 1
end 1
enemy 1
europe 1
european 1
fair 1
falls 1
fleets 1
for 1
foreign 1
forms 1
found 1
four 1
france 1
from 2
fundamental 1
future 1
given 1
going 1
grantville 1
greatly 1
gustavus 2
hasten 1
have 1
head 1
his 1
histories 1
history 2
in 3
into 1
is 1
its 1
leaders 2
league 2
left 1
lines 1
looking 1
machinations 1
mike 1
more 1
most 1
nearly 1
new 1
newly 1
news 1
no 1
novel 1
nullify 1
number 1
nus 1
of 17
off 2
one 1
or 1
ordinary 1
ostend 2
part 1
point 1
policy 1
political 2
posed 1
presence 1
principalities 1
republic 1
richelieu 2
secret 1
sends 1
series 1
siege 1
small 1
societal 1
some 1
spies 1
squarely 1
start 1
states 1
stays 1
stearns 2
technological 1
textbooks 1
the 20
their 3
theme 1
they 1
this 1
threat 1
timeline 1
to 6
town 1
trapped 1
trying 1
united 1
up 1
uptimers 1
various 1
voluntarily 1
way 1
where 1
which 1
while 1
whom 1
