5500372
/m/0dpn89
/m/0dpn89
Peter O'Donnell
1978-10-05
{"/m/014dfn": "Speculative fiction", "/m/06wkf": "Spy fiction"}
a 5
adrift 1
advances 1
after 2
against 1
alive 1
all 1
alone 1
and 8
another 1
artistic 1
arts 1
as 1
australia 1
back 2
bad 1
behind 1
blaise 1
book 1
break 1
bring 1
bullet 1
but 6
calmly 1
captivity 1
cell 1
certain 1
chance 1
claw 1
couple 1
crazy 1
crisp 1
did 1
disappeared 3
dont 1
down 1
dragon 1
draw 1
drowning 1
duel 1
earlier 1
end 1
england 1
enough 2
escape 1
ever 1
faster 1
fight 1
find 2
flair 1
fletcher 4
force 1
friend 1
from 3
garvin 1
get 1
give 1
given 1
goal 1
good 1
gun 3
guntoting 1
guys 1
hand 1
has 3
have 1
having 1
he 3
her 3
himher 1
hip 1
his 2
holster 1
how 1
in 8
intend 1
involved 1
is 6
island 1
it 2
killed 1
knowledge 1
last 1
later 1
leads 1
leave 1
live 1
loaded 1
long 1
luke 4
make 3
manages 1
mediterranean 1
minister 1
mistake 1
modesty 8
months 1
mystery 1
new 1
not 1
of 5
on 2
one 4
only 2
or 1
out 2
own 1
painter 1
people 1
person 1
prayer 1
preferring 1
priest 1
proven 1
puzzle 1
recaptured 1
refuse 1
rescues 1
resourceful 1
reverend 1
sailing 1
sea 2
she 1
singlehandedly 1
sixshooter 1
small 1
solved 1
tasman 2
than 1
that 2
the 19
their 1
themselves 1
then 2
they 2
theyve 1
this 1
to 12
trail 1
trying 1
turned 1
two 1
unravel 1
up 2
uriah 1
use 1
waits 1
well 1
while 1
who 4
why 1
will 1
willie 5
with 2
world 2
worldrenowned 1
yacht 1
years 1
zealand 1
