17500292
/m/0464ttf
/m/0464ttf
Duff Wilson
2001
1 2
10 3
100 1
1000 1
10000 1
105 2
11 2
12 1
120 1
121 1
13 1
133 1
14 1
148 1
15 2
154 1
157 1
16 2
167 1
17 2
170000 2
173 1
176 1
185 2
186 1
188 1
200000 1
21 2
22 1
23 1
25 1
252 1
253 2
28 1
3 1
36 1
360 1
4 2
41 1
45 1
5 1
53 1
56 1
6 1
65 1
7 1
76 1
82 1
a 34
about 4
absence 1
absorbed 2
accepted 1
acidic 1
adulterating 1
advanced 1
affected 2
ag 1
against 4
agencies 1
agricultural 3
alabamabased 1
alan 1
alarmed 1
alcoa 1
alkaline 1
all 2
allowed 2
almost 1
also 7
although 3
amount 1
amounts 1
an 6
and 49
animal 1
another 2
anything 1
appears 1
applications 1
apply 3
arc 1
are 9
arlington 1
around 1
arsenic 1
as 18
ash 2
assorted 1
at 4
atrazine 2
attempts 1
attendance 1
attention 2
average 1
avoiding 1
avoids 1
award 1
aware 1
bankrupt 1
bankruptcy 1
bankrupted 1
bay 5
be 5
beans 1
because 4
become 1
been 3
before 1
begin 2
begins 5
being 2
believes 4
beryllium 1
between 2
bill 1
bills 1
biosolids 2
block 1
both 1
bought 1
brings 1
build 1
but 8
buys 1
by 12
byproducts 3
cadmium 6
california 2
calls 2
camp 4
canada 1
cancer 2
cans 1
case 2
cases 1
cautions 1
cement 1
cenex 12
cenexland 1
cents 2
centuries 1
chaney 5
chasey 1
check 1
chemicals 2
children 1
choice 1
chose 1
chromium 2
cites 2
city 1
claim 1
claiming 1
claims 4
classaction 1
cleaned 1
coal 1
come 1
comments 1
community 1
companies 3
company 9
comparison 2
concerned 2
concrete 1
confused 1
congress 1
connected 1
considered 1
contacts 1
corn 2
corporation 2
costs 2
could 2
count 1
country 1
county 1
couple 1
court 2
covers 1
cows 1
cozinco 1
crafted 1
creating 1
crops 1
dad 1
damages 1
dane 1
death 1
deaths 1
decide 1
decided 1
decimated 1
defeats 1
deicer 1
denied 2
dennis 2
descends 1
despite 1
details 1
develops 1
deyoung 9
dick 3
did 2
didnt 2
die 2
dilute 1
disagrees 1
discover 2
discovered 1
discovers 3
discuss 1
disease 1
dismisses 1
disposing 1
distrophy 1
do 1
does 1
dont 1
down 1
dr 4
draws 1
drew 1
drop 1
dropped 1
duff 1
dump 3
dumping 2
dust 4
effect 1
effective 2
eight 1
eightysix 1
electric 1
encouraged 1
ends 1
enough 1
environmental 2
epa 4
erosive 1
established 1
even 1
eventually 2
ever 1
exacerbated 1
examine 1
example 1
excess 2
exchanges 1
experiences 1
expert 1
experts 1
exploding 1
extremely 2
face 1
facilitated 1
facility 1
factories 1
factors 1
families 2
farmer 4
farmers 7
farms 1
february 1
federal 2
feed 1
fertilizer 28
fertilizers 8
fibrosis 1
field 1
fields 1
files 1
fills 1
find 2
finds 6
fine 2
first 1
five 1
flue 2
fly 1
foods 1
for 16
force 1
forced 1
found 4
founded 1
founder 1
free 1
friend 1
friends 1
frit 1
from 5
fuel 1
full 1
furnace 1
ganesh 1
georgia 1
get 3
gets 3
getting 1
given 1
global 1
go 1
goes 2
good 1
government 2
governor 1
grass 3
grew 1
group 5
growing 1
grown 1
had 5
hair 1
half 2
hardly 1
has 4
have 6
having 1
hazardous 5
he 12
headway 1
health 1
healthy 1
heard 1
heavily 1
heavy 7
held 1
her 3
high 2
higher 3
highest 2
hightemperature 1
him 1
hires 1
his 6
homoepath 1
horses 2
hospitals 1
however 3
hundreds 1
i 1
id 1
idiopathic 1
if 2
ignored 1
illnesses 1
imc 1
imex 1
immunologist 1
important 1
in 41
including 1
incompetent 1
independently 1
industrial 5
industries 1
industry 2
industryfunded 1
industrywritten 1
information 1
informed 1
initially 1
instead 1
instrumental 1
into 6
investigating 1
investigation 1
iron 1
is 20
issue 2
it 19
its 8
john 3
jr 2
judgment 1
jurors 1
jury 1
just 1
k061 1
keeping 1
keeps 1
kept 1
kills 2
kiln 1
king 1
kipp 1
know 1
known 1
labeling 2
land 4
landfill 1
largely 1
last 1
late 1
later 8
latter 1
law 2
laws 2
lawsuit 1
lawsuits 1
lawyers 1
lbar 1
lead 4
leader 1
leading 1
least 2
led 1
len 1
less 1
level 2
levels 8
liability 2
license 1
lime 2
limit 1
limits 1
lindemeir 1
local 3
locke 1
longer 1
look 1
looks 1
loophole 1
loopholes 2
looser 1
lose 1
loses 1
loss 1
major 2
make 3
man 1
manager 2
managers 1
manufacturer 1
many 2
martin 6
massive 1
material 1
materials 2
maximum 1
may 1
mayor 1
meanwhile 1
meeting 4
members 3
memo 1
men 1
mentioned 1
metal 1
metals 11
mexican 1
millenia 1
million 4
mix 1
mixing 1
mixture 1
monsanto 2
mortvedt 4
most 4
mountain 1
much 2
murray 1
muscular 1
mysterious 1
mysteriously 1
nacionale 1
names 2
neighbor 1
nerpel 1
never 1
new 2
newspapers 1
nickel 1
nineteen 1
nitrogen 2
no 4
not 9
notes 3
nothing 1
nuclear 1
nucor 1
oath 1
objecting 1
of 52
offers 1
officials 5
ok 1
olakes 1
on 9
one 7
onetenth 1
online 1
only 3
or 4
orders 1
oregon 2
organic 1
origin 1
other 7
others 1
out 1
outofcourt 1
outside 1
over 4
overnight 1
overruled 1
pages 1
paid 1
particular 1
pass 1
passes 1
patty 5
pays 1
peanuts 1
penalty 1
people 4
percent 2
persist 1
pesticide 1
pesticides 2
ph 1
phenomenon 1
phytoremediation 1
pioneer 1
place 1
planted 1
plants 4
plus 1
pond 5
pool 1
postintelligencer 1
pound 1
pounds 4
ppm 3
practice 2
previously 3
price 1
prices 1
problem 2
process 1
processing 1
product 2
products 2
proposed 1
proposition 1
publish 1
publishes 1
pulmonary 1
purchasing 1
purely 1
purification 1
purpose 1
put 2
quickly 2
quincy 4
raghu 1
rank 1
rare 1
rates 1
rather 2
ratio 1
received 1
receives 1
recounts 2
recycle 1
recycled 2
recycling 2
referred 1
regional 1
regulated 1
regulation 2
regulations 2
relatively 1
relegated 1
reluctantly 1
remarks 1
remembered 1
remembers 1
report 1
reports 1
required 1
requirements 1
research 1
researcher 1
researching 1
resonated 1
retrial 1
rid 1
right 1
rinsate 2
rinse 1
risks 1
road 1
roughly 2
rubin 2
rufus 1
rule 1
runs 1
safe 1
salesman 1
save 1
saying 1
says 2
scientist 2
scientists 1
seattle 1
see 1
seeing 1
seems 1
seen 2
sell 2
selling 1
sells 1
senator 1
sense 1
settled 1
several 4
she 3
should 2
side 1
siemens 1
similar 1
simply 1
skimmings 1
small 2
smaller 1
smallwood 1
smith 1
smokestacks 1
so 1
soaking 1
sogreen 1
soil 3
soils 2
sold 6
some 2
source 1
spending 1
spreader 1
spreading 2
sr 1
stand 1
standards 1
state 14
states 1
steel 2
stop 1
stopsale 1
stopsales 1
story 3
stricter 1
strong 1
strongly 1
studied 2
study 1
subjected 1
subsequently 1
substantially 1
such 3
sudan 2
suggests 2
summer 1
surface 1
sympathetic 1
table 1
tackle 1
tailings 1
take 1
tanks 1
task 1
technology 1
tells 2
test 1
tested 2
testing 2
than 5
that 41
the 105
their 3
them 3
then 2
there 3
these 3
they 8
think 1
this 5
thorough 1
thousand 2
through 2
thus 1
times 5
titanium 2
to 43
together 2
told 2
tom 2
tons 2
too 1
took 1
total 1
toxic 7
toxicity 1
toxicologist 1
toxins 1
tracks 2
trade 1
travel 2
trend 1
tries 1
trifluralin 2
twentysix 1
two 2
ubiquitous 1
ugly 1
unapproved 1
uncontaminated 1
under 2
unregulated 1
up 6
upon 1
uptake 1
usda 1
use 2
used 4
using 4
usual 1
vacant 1
variety 1
varying 1
victims 1
vilified 1
wanted 2
was 14
washington 6
waste 14
wastes 3
water 1
way 2
websites 1
well 1
were 4
what 3
when 4
where 2
which 15
while 2
who 4
whose 4
will 1
williams 1
willing 1
wilson 16
with 14
witte 2
worked 1
working 2
worried 1
would 1
writes 1
year 1
yielded 1
yields 1
york 1
zinc 12
zinctocadmium 1
