14673180
/m/03gslzf
/m/03gslzf
Gael Baudino
1988
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
170 1
5thcentury 1
a 16
able 1
accepts 1
adopts 1
again 1
allies 1
alouzon 7
also 2
alternate 1
among 1
an 3
anachronisms 1
anchored 1
ancient 1
and 29
angeles 2
anticipation 1
are 6
as 4
assistant 1
at 4
back 2
be 1
bear 1
bears 1
became 1
become 1
becomes 2
been 2
begins 2
biases 1
blasted 1
both 4
braithwaite 4
britain 2
by 1
can 1
challenge 1
change 1
chaos 1
chattel 1
choice 1
choose 2
chooses 1
circle 2
clash 1
colored 1
comatose 1
conflict 1
corner 1
cosmos 1
counteract 1
created 2
creation 1
creator 1
dead 2
death 1
decide 1
decimating 1
decisive 1
decisively 1
defending 1
defense 1
destruction 1
distrusted 1
dive 1
dragon 2
dragonmaster 2
dremords 4
drug 1
dythragor 5
earlier 1
embodies 1
end 1
ended 1
ending 1
ends 1
enemies 1
energies 2
english 1
eventual 1
everything 1
faces 1
fade 1
failing 1
feared 2
fighter 1
fighting 1
final 2
finds 1
first 1
flight 1
flying 1
for 2
friends 2
from 4
gain 1
grinds 1
grip 1
gryylth 13
gryylthians 1
hands 1
has 5
have 2
he 6
heart 1
heath 1
helling 1
her 3
high 1
him 1
himself 2
his 5
history 2
hoping 1
in 13
incomplete 1
inhabitants 2
into 2
invaders 1
invasion 1
is 8
it 4
kent 1
kill 1
land 3
landit 1
launches 1
leadership 1
leaving 1
life 1
like 1
little 1
living 1
loosely 1
los 2
losses 1
magic 2
magician 1
magicians 1
make 1
makes 1
man 1
marriage 1
megalith 1
mernyl 2
mind 1
mist 1
modern 1
more 2
mounting 1
neither 1
new 4
no 1
nomadic 1
nothingness 2
ocean 2
of 18
off 1
old 1
on 6
one 2
only 1
onto 1
out 1
over 1
overdose 1
own 1
patterned 1
peril 1
persona 2
planning 1
potent 1
pressuring 1
pristine 1
professor 1
protector 3
proves 2
real 2
reality 1
realizes 4
realm 1
remembering 1
remembers 1
replacement 1
replica 1
returns 1
rider 1
roman 1
sacrifice 1
same 1
save 1
sea 1
second 1
see 1
seeing 1
she 8
shootings 1
sides 1
silbakor 4
similarity 1
since 1
skilled 2
slipping 1
soil 1
soldiers 1
solomon 2
something 1
sorcerer 1
sorcerers 2
speak 1
speed 1
stalemate 1
stand 1
standing 1
standoff 1
state 1
stone 4
stonehenge 1
strong 2
struggle 1
styles 1
subconscious 1
subconsciously 1
superficial 1
surrounding 1
suzanne 3
taken 1
tall 2
tap 1
teaching 1
ten 2
than 2
that 5
the 47
their 2
them 1
then 1
there 3
they 1
this 3
though 2
through 1
time 1
tireas 2
to 18
took 1
tool 1
topple 2
toppling 1
toward 1
transports 1
tree 5
tried 1
true 1
turning 1
two 1
unable 2
unconscious 1
uncontrolled 1
unquestioningly 1
unstoppable 1
unwilling 1
up 2
vaylle 1
victory 1
wants 1
war 3
wartroop 2
was 1
weapons 2
went 1
when 3
where 1
which 2
while 2
who 1
wind 1
winds 1
with 6
women 2
work 1
world 1
worth 1
years 2
