8914816
/m/027pghk
/m/027pghk
Eileen Wilks
2003-07
{"/m/01hmnh": "Fantasy"}
a 4
anthology 1
appears 1
be 1
beware 1
but 1
chineseamerican 1
city 1
clans 1
detective 1
detests 1
diego 1
eileen 1
enlists 1
entitled 1
find 1
get 1
have 1
heat 1
help 1
her 1
his 1
hold 1
human 1
if 1
in 2
inside 1
is 3
it 1
killer 1
lily 1
lover 1
murder 1
named 1
of 4
on 1
only 1
out 1
passion 1
prejudices 1
rule 1
san 1
she 3
shell 1
species 1
story 1
that 1
the 7
though 1
to 3
under 1
up 1
wants 1
were 1
werewolf 1
who 1
will 1
with 1
work 1
working 1
