269891
/m/01ns8c
/m/01ns8c
Irvine Welsh
2002-08
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
25 1
60000 1
a 29
accompanying 2
account 1
acquaintance 1
across 1
adult 1
after 5
again 1
ahm 1
alex 1
alison 4
all 2
almost 1
also 2
although 1
ambition 1
amsterdam 3
an 2
and 25
angry 1
another 1
are 5
area 1
argument 1
arrive 1
as 8
associated 1
at 3
attack 1
attempt 1
attempts 1
attend 1
attending 1
aunt 1
awake 1
bachelor 1
bar 1
be 1
become 2
becomes 3
been 1
begbie 18
begin 3
begins 3
being 1
believe 1
better 1
between 1
biggest 2
blow 1
book 1
boy 21
burden 1
burst 1
but 2
by 3
can 1
cannes 1
cannot 1
capitals 1
car 1
caring 1
carl 2
cat 1
catboy 1
celebration 1
certain 1
changes 1
chapter 5
chapters 6
character 1
classier 1
club 1
clubs 1
collection 1
coma 2
comes 1
comforts 1
coming 1
comprises 1
concludes 1
confesses 1
considers 2
contemplates 1
converse 1
convinced 1
coowner 1
country 1
couple 1
course 1
cover 1
crack 1
culprit 1
cultural 1
danny 1
david 1
debt 1
deceitful 1
deception 1
decides 1
defined 1
deliberately 1
demolition 1
departure 1
depending 1
desperately 1
destined 1
determined 1
diane 1
difference 1
different 1
discovers 1
discussing 1
disillusioned 1
distinctive 1
diversity 1
divided 1
dj 2
does 1
downcast 2
drug 1
due 1
duped 1
duplicitous 1
during 3
each 3
empty 1
ends 2
energy 1
english 1
entirely 1
errand 1
establishment 1
evening 1
everyone 1
everything 1
ewart 1
example 2
expected 1
fallen 1
featured 1
feel 1
feels 1
film 2
financial 1
find 1
first 2
five 1
flees 1
focus 1
for 5
forgiving 1
format 1
francis 1
francisco 1
fraud 1
friend 2
friends 1
friendship 2
from 9
front 1
full 1
fullersmith 1
gay 1
get 1
getting 1
gibson 1
git 1
glue 1
goes 1
grandiose 1
group 2
grows 1
habit 1
had 1
has 6
have 1
he 17
heading 1
her 4
him 6
his 21
history 1
hit 1
hitting 1
homemade 1
hometown 1
hope 1
hospital 1
hub 1
hunt 1
hurt 1
i 1
ick 1
ignore 1
im 1
imagined 1
implies 1
in 15
indicated 1
initially 1
instead 1
insurance 2
intae 1
interests 1
interviews 1
into 8
introduces 1
is 22
it 2
john 1
joint 1
just 2
kate 1
ken 1
kick 1
killing 1
last 1
later 1
lawson 1
learning 1
learns 1
leaves 1
leith 3
length 1
library 2
life 4
like 1
likes 1
likesay 1
london 1
lot 1
made 1
making 1
mark 1
marmy 1
masel 1
massage 1
mates 1
may 1
mcleish 1
meanwhile 1
meet 1
meeting 1
meets 1
mentions 1
merciless 1
mind 1
money 1
more 1
murphy 1
myself 1
narrates 1
narration 1
narrational 1
narrative 1
narrator 1
narrators 2
nasty 1
naturally 1
nature 1
new 1
news 1
night 1
nightclub 1
nikki 7
no 1
not 1
noting 1
novel 2
number 1
obviously 1
of 18
offers 1
often 1
old 1
on 3
one 3
ootside 1
operation 2
opportunity 1
or 2
other 1
ownership 1
packages 1
parlour 1
partner 1
parttime 1
person 1
planning 1
plays 1
pleased 1
policy 1
porn 1
porno 2
pornography 1
previous 1
prison 1
production 1
profit 1
promising 1
prose 1
provoke 1
pt 1
pub 4
pud 1
purpose 1
quotes 1
rab 3
realising 1
really 2
received 2
recent 1
recognises 1
reduced 1
regularly 1
relationship 4
release 3
reluctant 1
renton 14
repeats 1
resume 1
returning 1
returns 1
reveals 1
road 1
running 1
sabotage 1
sad 1
san 1
scam 2
scene 2
scenes 1
scots 1
section 1
sections 1
see 1
sent 1
sessions 1
several 1
share 1
she 1
shoot 2
sick 20
side 1
simon 3
slips 1
slow 1
so 3
socalled 1
social 1
society 1
some 1
son 1
soon 1
spud 12
standard 1
start 1
stopping 1
strained 2
student 1
style 1
successful 1
such 1
suddenly 1
suicide 2
swears 1
tae 1
taken 1
talking 1
tells 1
terry 3
that 10
the 29
their 4
them 1
then 1
there 1
things 1
thinkin 1
thinking 1
thinly 1
this 2
threat 1
three 1
tired 1
to 24
trainspotting 2
trait 1
treasured 1
tried 1
tries 1
trip 1
two 1
unconventional 1
underground 1
university 2
unlike 1
unveils 1
upcoming 1
upon 1
upstairs 1
use 1
using 1
veiled 1
violently 1
visiting 1
visits 1
was 2
well 1
welsh 1
what 1
when 6
which 3
while 7
who 1
whores 1
wife 1
will 2
williamson 2
with 13
words 1
worked 1
working 1
works 1
would 1
write 1
written 1
young 1
zurich 1
