23487767
/m/0g1jf5
/m/0g1jf5
William Shakespeare
1623

a 11
adopted 1
adrift 1
advisor 1
after 2
against 2
aground 1
airy 1
all 2
alonso 11
also 2
alternate 1
an 1
and 34
another 1
antonio 6
appears 1
applause 1
are 6
ariel 6
arrival 2
as 5
at 1
attempt 1
attempted 1
audience 1
back 1
banished 1
be 3
become 2
been 4
before 4
believes 1
believing 1
betrayal 2
between 1
boat 1
book 1
books 1
break 1
brother 3
brought 1
bury 1
but 2
by 9
caliban 7
can 1
causes 1
cell 1
characters 1
charged 1
claribel 1
close 1
closer 2
clothes 1
come 2
command 1
compelled 1
compels 1
conclusion 1
conspirator 1
conspire 1
contempt 1
contrives 1
counsellor 1
course 1
daughter 3
dead 1
deformed 1
departure 1
deposed 1
died 1
discharging 1
disgust 1
divined 1
drawing 1
drown 1
drunkards 1
due 1
duke 1
each 1
enemies 1
entertain 1
entourage 1
epilogue 1
establish 1
fails 1
fall 1
falls 1
fellow 1
ferdinand 5
final 1
finally 1
fleet 1
following 1
food 1
for 3
forgives 2
free 2
friend 1
from 6
further 1
gonzalo 3
great 1
groups 1
grown 1
guide 1
had 6
harpy 1
has 4
have 2
having 1
he 8
helped 1
her 1
him 7
his 14
how 1
immediately 1
in 10
including 1
indicates 1
inhabitant 1
initially 1
intends 1
into 1
invited 1
invites 1
is 4
island 7
jealous 1
kill 1
king 5
language 1
learning 1
library 1
life 1
light 2
love 1
loyalty 1
magic 4
magician 2
main 1
maintains 1
make 1
manipulates 1
married 1
may 1
men 1
milan 1
miranda 8
monster 1
moon 1
mostprized 1
naples 3
night 1
nonspiritual 1
of 14
on 5
one 1
only 1
opens 1
other 1
own 1
pardons 1
party 1
passengers 1
passing 1
path 1
play 2
plenty 1
plots 1
possessing 1
powers 2
prepare 2
pretending 1
prize 1
promising 1
proper 1
prospero 27
raise 1
raised 2
rape 1
rebellion 1
regards 1
relationship 1
release 1
religion 1
reluctantly 1
repeatedly 1
reprimanding 1
rescued 1
resent 1
resolved 1
returning 1
rightful 1
romantic 1
royal 1
run 1
sailing 1
sebastian 5
secretly 1
sent 1
separate 1
separated 1
servant 1
serve 1
served 1
servitude 1
set 2
several 1
ship 3
shipwreck 1
shorn 1
sin 1
slave 1
slavery 1
so 2
son 2
spells 1
spirit 2
spy 1
staff 1
stephano 1
story 1
stranded 1
subplot 1
supplied 1
survive 1
survivors 1
sycorax 2
task 1
taught 2
tempest 1
that 5
the 36
their 5
them 4
then 2
then3yearold 1
these 1
they 2
third 1
this 1
three 2
through 2
thwarted 1
to 26
together 1
too 1
trapped 1
tree 1
trinculo 1
tunis 1
turn 1
twelve 1
two 2
ultimately 1
usurper 1
view 2
warns 1
was 1
water 1
weather 1
wedding 1
where 1
which 4
while 1
who 2
whom 2
will 2
winning 1
witch 1
with 7
works 1
worries 1
years 1
