4314527
/m/0bwm91
/m/0bwm91
Nevil Shute
1932
{"/m/01jfsb": "Thriller", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
130 1
a 33
abbot 1
able 1
aboard 1
about 2
accidentally 1
actions 2
admitting 1
affection 1
after 5
agrees 1
all 1
allows 1
although 1
an 3
and 35
another 2
approaches 2
are 5
armed 1
arrest 1
arrivals 1
artful 1
as 7
ask 1
asks 1
assaulted 1
assured 1
assuring 1
at 5
attempt 1
attempted 1
attempts 1
aviator 1
await 1
awakens 1
away 2
barn 1
be 5
beach 1
bearing 1
become 1
bedside 1
been 4
before 2
begins 2
being 3
believe 1
best 1
better 1
between 1
billy 7
blamed 1
bodies 1
book 1
brains 1
brief 1
british 1
brother 4
burnedout 1
but 9
by 10
call 1
cambridge 3
can 1
cannot 1
car 3
care 1
cared 1
catching 1
channel 1
coast 1
coastal 1
coconspirator 1
come 1
commander 1
communist 1
communists 1
condition 1
confesses 1
confirms 1
confront 1
connection 1
conscience 1
conservative 1
conspiracy 1
consult 2
consultation 1
contacted 1
contacts 1
convey 1
conveyed 1
convinced 1
could 1
country 1
cousin 1
crash 2
damaged 1
dance 3
dancer 1
dancing 1
dangerous 1
days 2
dead 2
death 3
deaths 1
deceitful 1
decoy 1
defend 1
denies 1
desire 1
despite 1
destination 1
desultory 1
devastated 1
devon 1
did 1
died 1
dies 1
do 1
dodman 1
does 1
don 4
down 3
drinking 1
driver 1
drunk 2
duly 1
during 1
dutchman 1
each 2
either 1
election 4
embittered 1
employment 1
encounter 1
ensure 1
ensuring 1
enterprise 1
entertains 1
escape 1
evening 1
everyone 1
expense 1
expert 1
exposed 1
fails 1
fair 1
faked 1
falling 1
female 1
finds 1
fired 1
first 2
flotilla 1
follow 1
for 10
found 2
four 1
friday 1
from 6
general 1
gentle 1
gentlemen 1
genuine 1
german 1
germans 1
get 1
girl 1
gives 1
go 1
goes 1
goods 1
gordon 1
got 1
graduate 1
growing 1
gunmen 2
guns 4
had 3
hall 1
handling 1
has 6
haunts 1
have 6
having 2
he 24
heart 1
heavily 1
help 3
her 16
high 1
him 4
himself 2
his 18
home 1
hospital 1
house 2
how 2
hurries 1
i 1
idea 1
identify 4
in 20
incident 1
increasingly 1
infected 1
influenced 1
initial 1
injured 1
intercept 1
interrogation 1
interrupt 1
into 3
invites 1
involved 1
involvement 1
is 11
it 2
ivory 1
killed 1
killing 1
kills 1
kingdom 1
know 1
knowledge 1
knows 2
labour 3
landed 1
landing 1
last 1
lead 2
leading 1
learn 2
learning 1
least 1
leaves 1
leeds 2
leicester 1
life 1
little 3
lived 1
lives 1
location 1
lonely 2
long 1
lorry 4
makes 1
malcolm 1
man 1
manacles 1
managed 1
manoeuvres 1
marriage 1
marry 1
mary 1
may 1
meet 1
meets 2
men 2
mental 1
mollie 13
moment 2
monday 1
months 1
morning 1
must 2
narration 1
naval 1
near 1
newton 1
nicknames 1
night 4
no 3
not 2
note 1
nothing 1
now 1
occurred 1
of 21
off 1
offers 1
on 9
one 5
only 2
or 1
other 4
others 2
out 2
outraged 1
own 1
packages 1
paid 2
participate 1
party 1
people 1
persuaded 1
phillip 2
physical 1
pioneer 1
plans 1
platonic 1
play 1
plot 1
point 1
police 11
political 1
position 1
pouring 1
precautions 1
prepare 1
present 1
press 1
prisoners 1
probably 3
professor 5
profitable 1
proper 1
publicity 1
pursuit 1
puts 1
questioning 3
quite 1
rather 1
readily 1
realizes 1
realizing 3
recent 1
recently 1
recognize 1
recovered 1
reef 1
refuses 1
relocation 1
remains 1
responsible 1
resulted 1
returns 3
risk 1
road 1
rocks 1
run 2
runs 1
russian 1
said 2
same 1
save 1
scars 1
science 1
seconds 1
see 1
seemingly 1
sense 1
sensible 1
series 1
services 1
shackles 1
shared 1
she 8
ship 7
ships 1
shoulder 1
sink 1
sinking 1
sinks 1
sir 2
sister 1
sitting 1
sixpence 2
slowly 1
smuggled 3
smugglers 2
so 4
solicitor 3
something 2
sometimes 1
soon 1
spare 1
sparing 1
station 1
steamers 1
stenning 2
stevenson 30
still 2
story 2
submarine 1
surrender 1
survive 1
survivors 2
sympathy 1
take 1
taken 2
takes 2
taking 2
talking 1
tell 1
telling 2
tells 2
than 1
that 14
the 80
their 1
them 2
there 1
they 12
this 2
through 3
thumping 1
tides 1
time 1
to 36
together 1
token 1
told 1
torn 1
tower 1
track 1
tracks 1
try 1
ultimatum 1
united 1
unless 1
unrelated 1
until 1
upcoming 1
uprising 1
vacation 1
vessel 1
victory 3
view 1
vignettes 1
walk 1
want 1
war 1
warns 1
was 6
watches 1
way 3
we 2
wealthy 1
well 2
went 1
what 3
when 1
where 3
which 5
who 4
whom 1
will 4
window 1
with 10
work 1
world 1
worsens 1
would 4
wounded 2
wounds 1
written 1
years 1
