8621319
/m/027bd3f
/m/027bd3f
James Dickey
1970
a 35
able 1
about 3
above 1
accident 3
accost 1
adding 1
after 6
afterwards 1
again 2
against 1
agrees 1
ahead 1
aintry 4
albino 1
all 1
allow 1
almost 2
always 1
an 1
and 45
another 1
apart 1
apparently 1
appears 1
approaches 1
are 2
arguing 1
around 1
arranging 1
arrive 1
arrow 1
arrows 1
artist 1
as 9
aside 1
assailant 1
at 9
attacks 1
avoid 1
awakens 1
away 1
bad 1
badly 2
ballinger 1
banjoplaying 1
basement 1
be 2
been 2
before 1
begin 1
begins 3
behind 1
being 1
believe 1
believing 1
below 1
besides 1
bit 1
boarding 1
bobby 16
body 8
book 1
both 1
bottom 1
bow 3
boy 1
breaking 1
breaks 1
briefs 1
broke 1
broken 1
brotherinlaw 1
brothers 1
brushes 1
bullet 1
bury 2
business 1
but 8
buy 1
buys 1
by 7
cabin 1
cahulawassee 1
camp 2
can 1
cannot 1
canoe 9
canoeing 1
canoes 4
capsized 1
carefully 1
carrying 1
cars 1
castigates 1
ceased 1
certain 1
chafing 1
changed 3
characters 1
city 3
claimed 1
clearing 1
cliff 4
climb 2
climbs 2
come 1
completion 1
confirms 1
connection 2
consisting 1
continue 1
continuing 1
conventional 2
corpse 3
cottage 1
create 1
cutting 1
dam 2
dammed 1
day 1
days 1
dead 3
death 1
decides 1
declares 1
deepest 1
deer 1
deficient 1
deputy 1
descends 1
desperately 1
dies 1
directions 1
disappointment 1
discussion 1
do 4
doctor 1
does 1
dont 1
down 4
downriver 1
drew 10
drink 1
drive 2
driving 1
duet 1
dwellers 1
early 2
eat 1
ed 37
emerges 1
end 1
ends 1
enough 1
enter 1
escapes 1
evening 2
examiners 1
examines 1
except 1
excuses 1
executive 1
exhaustion 1
exist 1
explain 1
explaining 1
expresses 1
failing 1
falls 1
feeling 1
feigns 1
few 1
fictional 1
fictitious 1
find 1
finds 1
fires 1
first 2
flooded 1
following 3
follows 1
for 3
forbidding 1
force 3
four 1
foursome 1
friend 1
from 3
front 1
full 1
gas 1
gentry 1
georgia 2
get 1
gets 1
getting 1
go 1
goes 2
good 1
gored 1
gorge 5
graphic 1
grazed 1
griner 1
ground 1
group 1
grows 2
grueling 1
guitar 1
gun 1
had 2
hamlet 1
handing 1
happened 1
has 8
have 5
having 1
hawaii 1
he 15
head 1
hears 1
heated 1
help 1
hidden 2
high 1
highly 1
hillbilly 1
him 7
himhe 1
himself 2
his 21
hits 1
house 1
humiliated 1
hunting 1
i 1
if 4
ignores 1
in 24
inbred 1
indeed 1
infamous 1
initial 1
injured 1
insurance 1
into 9
irritated 1
is 10
isolation 1
it 6
journey 2
jury 1
keep 1
kick 1
kill 1
knife 1
knocking 1
lake 1
landlord 1
lands 1
large 1
last 1
later 5
latter 1
lawabiding 1
leg 1
less 1
lets 1
lewis 17
life 2
light 2
like 2
limp 1
little 1
local 1
locates 1
long 2
lonnie 1
look 1
lowers 1
made 1
main 1
makes 1
man 6
me 1
mechanics 1
medical 1
medlock 1
memories 1
men 9
mentality 1
mentally 1
middleaged 1
might 1
mind 1
misses 1
missing 2
modify 1
moment 2
morning 2
most 1
mountain 6
mountains 1
moves 1
moving 1
musical 1
must 1
narrated 1
neighboring 1
nevertheless 2
night 1
no 1
north 1
not 3
nothing 1
novel 2
now 4
nowdrowned 1
occasionally 1
of 23
on 7
one 6
opposed 1
oral 1
ordeal 1
order 2
other 2
out 5
outdoorsman 1
outing 1
over 1
overcome 1
own 2
pair 1
part 1
partner 2
patterns 1
perform 1
permanent 1
person 1
persuade 1
physically 1
piece 1
plan 1
planning 1
plans 1
plays 1
pleas 1
point 1
police 1
powerful 1
prepares 1
propel 1
protagonists 1
psychologically 1
put 2
questioningbut 1
quickly 1
rapids 3
reach 1
reality 1
realizes 1
reflect 1
relapsing 1
relatives 1
remaining 2
report 1
reservoir 1
rest 1
return 1
returns 2
rifle 1
rifleman 3
right 1
river 11
rocks 1
rope 1
rough 1
salesman 1
same 1
savant 1
scene 1
screaming 1
see 1
sees 2
set 1
sex 1
shattered 1
sheriff 4
shoot 2
shoots 3
shot 3
shotgun 3
shower 1
side 1
sides 1
sighting 1
since 2
sink 2
slightly 1
slowly 1
small 1
so 1
sodomizes 1
soft 1
some 3
something 1
soon 1
spending 1
spots 1
station 1
step 1
stitches 1
story 2
straightlewis 1
suffered 1
survivalist 1
suspicious 1
take 2
takes 2
taking 1
teamed 1
tells 1
that 9
the 113
their 4
them 5
then 10
there 1
thereby 1
they 12
thing 1
this 1
though 2
threatens 1
time 2
to 41
tolerable 1
too 1
top 4
town 1
tracks 1
transfer 1
traumatized 1
tree 4
trial 1
tries 1
trip 2
trippe 1
turn 1
twang 1
two 4
tying 1
untie 1
up 2
valley 1
voyage 1
voyaged 1
waits 1
walls 1
want 1
wants 2
warning 1
was 2
watches 1
water 1
way 1
weekend 2
weight 2
what 2
where 4
which 4
who 3
wife 1
wilderness 1
will 2
with 20
woods 3
would 1
wound 2
wrestles 1
