5243957
/m/0d9nzg
/m/0d9nzg
Dave Pelzer

a 4
accomplish 1
adolescent 1
after 1
air 2
ample 1
an 3
and 3
another 1
answers 1
any 1
as 3
attempts 2
background 1
become 1
becomes 1
broken 1
but 3
by 1
called 1
can 1
cancer 1
cannot 1
career 1
character 1
child 2
childhood 3
come 1
contact 1
countless 1
couple 1
course 1
dave 7
death 1
deepening 1
demonic 1
determination 1
determined 1
disastrous 1
do 1
dream 1
during 1
dying 2
exclusion 1
existence 1
experiences 2
facts 1
failure 1
family 1
father 4
felt 1
finally 1
firefighter 1
first 1
for 3
force 2
from 3
fueling 1
give 2
gleaned 1
he 8
her 1
highly 1
him 2
his 18
hours 1
in 4
inability 1
inflight 1
into 1
is 6
it 2
job 1
joins 1
kind 1
know 1
later 1
learn 1
lessons 1
lifelong 1
love 1
man 3
marriage 2
meets 1
mind 1
mother 3
much 1
never 1
not 1
obstacles 2
of 8
ordinary 1
out 1
overcomes 1
own 1
parents 1
partial 1
past 2
person 1
proves 1
pulls 1
quest 1
realizes 1
reason 1
recognition 1
reestablish 1
regarded 1
relationship 1
relationships 1
result 1
reveal 1
rush 1
sad 1
son 2
sort 1
space 1
spends 1
stephen 1
steps 1
stop 1
study 1
technician 1
tendencies 1
terms 1
that 6
the 15
them 1
these 2
this 1
those 1
ties 1
time 1
to 11
total 1
traits 1
treats 1
trust 2
trying 1
unfold 1
union 1
untangle 1
until 1
web 1
were 1
when 1
where 1
whys 1
will 1
wish 1
with 3
would 1
young 1
