3311734
/m/094y_f
/m/094y_f


{"/m/02n4kr": "Mystery"}
10000 1
a 12
addition 1
after 1
all 4
also 2
an 2
and 4
answer 2
answers 3
are 2
around 1
as 2
basis 1
best 1
bit 1
book 3
books 1
by 1
chapter 1
chapters 2
check 1
classic 2
complete 1
contained 2
contest 3
crimes 1
darkened 1
death 4
disappear 1
disappearance 2
each 2
eight 1
ended 1
example 1
facts 1
family 4
fit 1
five 1
for 2
from 1
gave 1
gives 1
gunshot 1
happened 1
hardcover 1
has 1
have 2
hint 1
homage 1
how 1
however 1
if 1
immediate 1
implementation 1
in 4
information 1
investigation 1
involved 1
is 2
it 1
killed 1
liberties 1
lockedroom 1
member 2
members 1
method 1
minor 1
most 2
murder 2
murdered 1
murders 3
mystery 2
neatly 1
needed 1
no 1
nobody 1
novel 1
obtain 1
of 6
on 1
one 2
only 2
or 1
others 1
paperback 1
person 1
police 1
proper 1
properly 1
provide 1
provided 2
puzzle 1
questionable 1
questions 1
ranged 1
realism 1
regarding 1
released 1
research 1
residue 1
resulted 1
revealed 1
revolved 1
robins 3
room 1
several 1
shot 1
solution 1
solutions 1
some 2
story 1
strangulation 1
suspense 1
taken 1
the 21
theoretical 1
thinks 1
though 2
throughout 1
to 10
took 1
two 1
understood 1
version 1
very 1
was 1
were 1
when 2
where 2
which 2
while 1
who 3
why 1
with 2
won 1
works 1
would 1
