48573
/m/0c_bp
/m/0c_bp
Michael Crichton
1969-05-12
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/017rf8": "Techno-thriller", "/m/02n4kr": "Mystery", "/m/0c3351": "Suspense", "/m/02xlf": "Fiction"}
73743 1
a 22
ability 1
abnormal 1
acids 1
activating 1
actually 1
aerial 1
against 1
agriculture 1
air 1
all 2
already 1
amino 1
an 5
and 18
andromeda 10
andromedacontaminated 1
andros 2
anthropologist 1
antibiotic 1
anywhere 1
apparently 1
appears 1
appendicitis 1
approach 1
are 3
area 1
arguing 1
arizona 1
armed 1
arms 1
as 1
ate 1
atmosphere 2
atmospheric 1
atomic 3
attacks 1
automatic 1
automatically 1
bacteria 1
bacteriologist 1
barely 1
base 2
bawling 1
because 3
before 1
believe 1
benefit 1
benign 1
best 1
better 1
biochemistry 1
biologic 2
biological 2
bioweapon 1
bizarre 2
blood 3
bomb 3
both 1
breach 1
burn 1
burton 4
but 1
by 5
can 1
capable 1
capacity 1
capture 1
carrying 1
caused 2
changing 1
charles 1
chemical 1
christian 1
closest 1
clotting 1
coagulation 1
code 1
commander 1
committed 1
communication 1
complex 2
composed 1
constantly 1
containment 2
contains 1
content 1
countdown 1
counters 1
course 1
crashed 1
crises 1
crystalline 1
crystalstructured 1
current 1
cycle 1
dead 1
deadly 1
deaths 1
decisions 1
deepest 1
defenses 1
degrades 1
demands 1
department 1
designed 1
detects 1
determines 1
detonation 2
die 1
died 1
directly 2
disarm 1
disarms 1
discovers 1
disease 1
diseases 1
dispassionate 1
dispatched 1
disseminated 1
dna 1
door 1
dr 7
during 3
duty 1
each 1
earth 1
either 1
electrolytes 1
element 1
elements 1
emergency 1
energy 2
epilogue 1
equipped 1
escapes 1
escaping 1
evacuated 1
eventually 1
every 1
everyone 1
exobiological 1
exploitation 1
explosion 1
extraterrestrial 3
facility 2
feed 1
fictional 1
fifth 1
flatrock 1
for 4
form 2
from 5
further 1
generate 1
geriatric 1
given 2
governmentsponsored 1
grows 1
growth 3
had 1
hall 3
halt 1
harmful 1
has 1
hatch 1
have 2
he 5
heat 1
hidden 1
him 1
his 1
however 1
human 1
hypothesis 1
if 1
in 9
incinerate 2
incinerated 1
including 1
infant 2
infection 2
infestation 1
inhabitants 1
inject 1
insert 1
instantaneous 1
into 2
intravascular 1
investigating 1
investigation 1
is 14
it 8
its 3
jackson 2
jamie 1
jeremy 1
kalocin 1
key 2
kills 1
kirke 1
knocking 1
known 1
laboratory 2
lacks 1
landed 1
las 1
learn 1
leavitt 1
legitimate 1
lethal 1
letter 1
level 2
levels 1
life 1
like 1
live 1
locating 1
lower 1
man 3
manned 1
mark 1
matter 2
md 1
mechanism 1
medium 1
members 1
men 1
meteor 1
microbe 3
microorganism 1
microorganisms 1
midstride 1
migrated 1
miles 1
military 1
most 1
multiplynbspmdash 1
must 2
mutated 2
mutates 2
mutation 1
named 1
narrow 1
navigate 1
near 1
nearly 1
necessary 1
neoprene 1
nevada 1
no 1
nonlethal 1
not 1
novel 1
nuclear 1
nuts 1
obstacle 1
odd 2
of 11
on 2
one 1
only 3
opposites 1
or 2
orbit 1
organism 3
other 1
out 1
oxygen 1
pathology 1
peter 2
ph 4
piedmont 2
plastic 2
presumably 1
properties 1
protection 1
proteins 1
purloined 1
quietly 1
racing 1
radio 1
range 2
reach 1
realize 2
recommends 1
recovery 1
reentry 1
refuses 1
remote 1
render 1
reproduce 1
required 1
research 1
residents 1
retrieve 1
returned 2
returns 1
reveals 2
ritter 2
rna 1
robertson 1
satellite 6
scientific 1
scientist 1
scientists 4
seals 1
secret 1
section 1
secure 1
selfdestruct 2
shield 2
sick 1
since 1
sixty 1
somehow 1
sort 1
spacecraft 1
special 1
specialist 4
spouse 1
states 1
station 1
sternoaddicted 1
stone 3
strain 2
structure 1
studying 1
subbasements 1
substation 3
suddenly 1
suicides 1
suiting 1
surface 1
surgeon 1
surveillance 1
survived 2
survives 1
suspected 1
suspects 1
taken 1
team 5
terrestrial 1
that 15
the 55
their 1
time 2
to 20
too 1
tooacid 1
toobasic 1
town 3
transforms 1
trapped 2
triggering 1
two 1
ultimately 1
unavailable 1
underground 1
unfortunately 1
universal 1
unknown 1
unmarried 1
up 1
upon 1
upper 3
upperatmosphere 1
using 1
v 2
vectors 1
vegas 1
versa 1
vice 1
vulnerable 1
was 3
weapon 1
went 1
were 1
when 2
where 2
which 1
who 1
why 1
wildfire 9
will 1
with 7
within 2
without 1
working 1
would 2
yet 1
