3241257
/m/090n_k
/m/090n_k
Ernest Poole
1917-05-16
113 1
17 1
30 1
a 22
about 2
absent 1
accepts 1
affairs 1
afford 1
after 4
again 1
against 1
agitating 1
agrees 1
all 1
allan 6
allows 1
also 2
amount 1
amounts 1
an 1
and 39
announcement 1
antique 1
anyone 1
are 2
arguments 1
around 1
arranges 2
arrival 1
arrives 2
arriving 1
as 7
asks 1
at 4
august 1
automobile 1
away 2
baby 1
backroads 1
baird 2
barely 1
be 3
become 1
becomes 1
becoming 1
been 2
before 2
begins 1
between 1
beyond 1
bills 1
birth 1
boy 3
brandnew 1
brings 1
brought 1
bruce 3
business 3
businessman 2
but 3
by 4
can 3
car 1
care 2
caveat 1
changes 2
child 2
children 4
chooses 1
city 1
civil 1
clients 2
clipping 1
close 1
collection 2
come 1
concerned 1
concerns 1
conflicts 1
connected 1
consequenceshe 1
conspires 1
constantly 1
cover 1
crippled 1
cunningham 1
date 2
daughter 4
daughters 2
days 1
death 2
deborah 15
delay 1
delayed 1
despite 1
detective 1
devote 1
dies 1
discovers 2
distant 1
disturbed 1
divorce 2
doctor 2
down 1
downtown 1
driven 1
due 1
dying 1
early 1
edith 13
elopes 1
end 3
endangering 1
ended 1
ends 1
energies 1
engagement 2
enjoyed 1
especially 1
europe 2
even 1
eventually 1
expensive 1
fact 1
fallen 1
falls 2
families 2
family 17
farm 5
farmer 2
fatally 1
father 1
feeling 1
feels 2
fifth 1
final 1
finally 1
financial 2
find 1
finds 1
first 1
following 1
for 9
forced 2
fortune 1
four 1
free 1
friend 1
from 5
funds 1
gale 1
generally 1
george 2
given 2
giving 1
goes 1
good 1
had 2
hal 3
hampshire 4
happiest 1
happily 1
has 7
have 3
he 8
help 1
her 23
herself 2
him 9
himself 1
his 21
home 8
honeymoon 2
hope 1
hoped 1
hostile 1
hours 1
house 1
however 1
husband 4
i 1
ideas 1
ill 3
immigrant 1
in 12
increase 1
indiscretions 1
informing 1
initially 1
intends 2
interest 1
intervenes 1
into 1
irish 3
is 11
it 3
italian 1
its 1
job 1
john 4
july 1
large 2
largely 2
last 1
laura 6
learns 2
life 2
live 2
lives 1
living 2
lodging 1
long 1
loses 1
love 1
lover 1
luggage 1
made 1
make 3
man 1
many 1
marriage 1
married 1
marry 1
meet 1
modern 1
money 5
mortgage 1
most 4
mother 1
named 1
near 1
nephews 1
never 1
new 8
news 1
next 1
niece 1
not 1
now 1
of 25
office 1
old 1
oldest 1
on 5
one 1
onset 1
or 1
orders 1
out 2
over 1
partner 1
passes 1
past 1
peace 1
perspective 1
pleading 1
possessions 1
pregnancy 1
prejudices 1
prepare 1
pressure 1
principal 1
private 1
privately 1
prized 1
profiteering 1
proofs 1
proposal 1
providing 1
publicly 1
pursuing 1
racing 1
raises 1
reached 1
reacquire 1
reflecting 1
reforms 1
refusing 1
regularly 1
relents 1
remain 1
remaining 1
removed 1
request 1
resists 1
resolves 1
result 1
resulting 1
return 3
returns 1
ring 1
rings 1
roger 18
said 1
saves 1
school 7
schoolchildren 1
see 1
seems 1
sell 3
send 1
set 1
settle 1
she 4
siblings 1
since 1
sister 1
sloane 2
so 2
someday 1
somewhere 1
son 1
soon 2
source 1
spend 1
spends 2
spring 2
standing 1
story 1
straits 1
street 1
stressful 1
struck 1
subsequent 1
sudden 1
suddenly 2
suffrage 1
suitor 1
summer 1
support 3
surround 1
takes 1
taking 1
taxi 1
tenement 1
tenements 1
tensions 1
that 10
the 53
their 6
themthis 1
thereafter 2
they 1
this 2
three 1
through 1
time 3
to 42
together 1
troubles 1
tuberculosis 1
tuition 1
turn 1
tutored 1
two 1
unfaithful 1
unknown 1
until 4
up 2
use 2
very 3
visit 1
visits 1
wait 2
war 3
watching 1
wedding 4
weeks 2
when 3
which 1
while 1
who 6
whose 2
widower 1
wife 2
winter 1
with 12
within 1
women 1
works 3
world 1
worsen 1
would 1
wrong 1
year 1
yet 1
york 2
young 2
younger 1
