17434043
/m/04cxz3j
/m/04cxz3j
Ben Bova
1999-06-08
a 3
and 4
as 2
beloved 1
between 1
but 1
cliff 1
corporations 1
could 1
daryl 1
desires 1
director 1
discovering 1
dwelling 2
earth 1
exploiting 1
explore 1
father 1
finds 1
from 3
geologist 1
gets 1
giving 1
globe 1
governments 1
has 1
hero 1
himself 1
his 4
hold 1
however 1
in 2
inhabitants 1
is 1
jamie 2
job 1
key 1
later 1
locked 1
make 1
marineris 1
mars 1
millionaire 1
mission 2
money 1
most 1
mysterious 1
navajo 1
not 1
notably 1
now 2
of 1
on 2
own 1
past 1
planet 3
proud 1
red 1
region 1
return 2
returned 1
second 1
sent 1
six 1
son 1
speeches 1
sponsorship 1
supporting 1
that 1
the 9
to 7
travelling 1
trumball 2
valles 1
voyage 2
war 1
waterman 2
whose 1
wishes 1
years 1
