2481655
/m/07h01m
/m/07h01m
Nina Bawden

{"/m/0dwly": "Children's literature", "/m/0hwxm": "Historical novel"}
a 8
about 2
according 1
activate 1
after 2
albert 3
alive 1
also 1
america 1
american 1
an 1
and 14
anger 1
another 1
approve 1
are 3
arrives 1
as 1
at 1
auntie 3
away 1
becomes 1
befriend 2
believe 2
birthday 1
book 1
brother 2
bullying 1
burning 1
but 2
by 2
call 1
called 1
carrie 4
cass 2
caused 1
cerebral 1
cheek 1
children 4
come 1
comes 1
concerns 1
cousin 1
curse 2
day 1
dead 1
deceased 1
depart 1
departs 1
departure 1
discover 1
distant 1
during 1
dying 1
earlier 1
evacuated 1
evacuee 1
evans 6
family 1
few 1
fire 1
fit 1
for 1
friendly 1
from 3
gentle 1
gotobed 4
green 1
grief 1
harper 2
has 2
helper 1
hepzibah 4
her 7
him 1
his 3
home 1
house 3
housekeeper 2
if 1
in 3
into 1
is 5
it 1
johnny 4
keeping 1
kept 1
kisses 1
later 3
leads 1
letter 1
library 1
loneliness 1
lou 3
major 2
many 1
marry 1
matches 1
meets 1
mother 1
mr 10
mrs 4
next 1
nick 1
not 1
nothing 1
of 7
on 3
other 1
out 3
outside 1
overjoyed 1
palsy 1
passes 1
playing 1
point 1
pond 1
present 1
removed 1
return 1
reveal 1
revealed 1
said 1
sandwich 1
saying 1
second 1
secret 1
sees 1
sends 1
she 3
sister 4
skull 4
so 2
soldier 1
stay 1
staying 1
still 1
stolen 2
tale 1
tells 1
that 4
the 25
their 1
them 1
they 5
thinks 1
thirty 1
this 5
throwing 1
throws 1
to 8
train 1
truth 1
try 1
very 1
visit 1
wales 1
war 1
was 2
weak 1
weeks 1
which 1
who 4
whom 1
will 2
willow 2
window 2
witch 1
with 4
world 1
would 2
years 2
young 1
