30858664
/m/07jyr4
/m/07jyr4
Shirley Jackson

{"/m/014dfn": "Speculative fiction", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
18yearold 1
a 21
accustomed 1
acquaintance 1
acquitted 1
admits 1
advances 1
after 1
against 1
ago 1
ailing 1
all 1
alone 1
always 1
an 1
and 29
anew 1
anger 1
appears 1
approaching 1
are 2
around 1
arrested 1
arrive 1
arsenic 1
as 2
at 4
attack 1
attacking 1
attempts 1
aunt 1
awakening 1
aware 1
away 1
be 1
because 1
becomes 1
bed 1
been 1
before 2
befriends 1
begin 2
begins 1
believe 1
belongings 1
berries 1
between 1
blackberries 1
blackwood 4
blackwoods 2
book 2
books 1
both 1
bowl 1
brother 1
but 2
by 5
calling 1
can 2
cares 1
carrying 1
castle 1
caught 1
change 1
chanting 1
charles 9
children 2
choose 1
close 1
confesses 1
confidence 1
confined 1
constance 17
contact 1
convinced 1
course 1
cousin 1
crime 1
damaged 1
danger 1
dangerous 1
deed 1
demon 1
destroy 1
did 1
dies 1
dinner 4
directly 1
discovering 1
disgusted 1
disruptive 1
doorstep 1
down 1
drive 1
driven 1
elder 1
en 1
encircled 1
estranged 1
events 1
eventually 1
existence 1
faced 1
fallen 1
family 8
farther 1
father 1
feels 1
filled 1
fire 3
first 1
firstperson 1
flee 1
followed 1
food 1
for 8
from 2
garden 1
ghost 1
going 1
gotten 1
gradually 1
greed 1
groceries 1
grounds 1
groups 1
grown 1
guilt 1
hands 1
happened 1
happy 1
has 6
hatred 1
have 1
having 1
he 1
heart 1
her 10
herself 1
hideaway 1
him 4
himself 1
his 4
home 5
hostility 2
house 4
ignores 1
imminent 1
impatient 1
implied 1
in 10
including 2
increasingly 3
insinuating 1
into 7
is 16
isolation 2
it 1
julian 8
katherine 1
keep 1
knew 2
knows 1
large 3
last 1
lead 1
leave 1
left 3
library 1
little 1
live 1
lives 1
locked 1
longrepressed 1
made 1
magic 1
magical 2
makes 1
many 1
mary 1
masse 1
mdash 1
means 1
memoirs 1
merricat 17
mixed 1
money 1
murder 1
murdered 1
nailed 1
narrated 1
nearby 1
newspapers 1
night 2
no 1
not 4
notes 1
novel 1
now 2
obsessively 1
of 20
off 1
often 1
on 4
once 2
one 1
onto 1
open 1
ostracized 1
otherwise 1
out 2
outdoors 1
outside 1
parents 1
parties 1
past 1
people 1
perceives 1
pipe 2
placed 1
poison 1
poisoned 3
practitioner 1
proceed 1
protective 1
punishment 1
purpose 1
pushes 1
put 3
quickly 1
quiet 1
ramblings 1
readily 1
real 1
reassure 1
references 1
remain 1
remainder 1
remaining 1
renew 1
resembles 1
respond 1
response 1
rest 1
returning 1
returns 1
revealed 1
rewrites 1
rhyme 1
rocks 1
roof 1
rooms 1
rude 1
ruined 1
safe 2
safeguards 1
safety 1
salvage 1
saying 1
seem 1
sends 1
sense 1
sent 1
sets 1
she 8
shelter 1
sister 2
sisters 2
six 2
sky 1
smashing 1
sole 1
some 1
space 1
sprinkled 1
start 1
stillsmoldering 1
story 1
sugar 4
surging 1
survived 1
sympathetic 1
take 2
taunt 1
taunting 1
tells 1
than 1
that 6
the 54
their 11
them 3
they 2
those 1
though 1
threat 1
three 1
through 1
throwing 1
time 1
to 28
too 1
tree 2
tries 1
try 1
turreted 1
twice 1
two 1
uncle 4
under 1
unseen 1
upon 1
upstairs 1
use 1
various 2
verge 1
village 3
villagers 4
visit 1
walking 1
warn 1
warring 1
was 2
wash 1
wastebasket 1
wave 1
weaknesses 1
week 1
were 1
what 3
whatever 1
wheelchair 1
where 1
while 3
who 4
wife 1
windows 1
with 6
without 2
woods 1
wooing 1
world 2
would 1
writes 1
years 2
younger 1
