22682097
/m/05p8zhq
/m/05p8zhq
Bruce Marshall
1953
a 2
able 1
after 4
agent 1
an 1
and 9
arrival 1
artificial 1
as 1
assignment 1
at 2
attempted 1
attempts 1
avenue 1
back 1
be 1
beatings 1
because 1
betrayed 1
better 1
briefly 1
british 2
brutal 1
buchenwald 4
by 2
camp 2
camps 1
captured 1
chances 1
compigne 1
concentration 1
conclude 1
deprivation 1
detention 1
during 1
e 1
electrical 1
enlisted 1
escape 1
escaped 1
executive 1
f 2
failed 1
first 1
fluent 1
foch 1
france 4
french 2
frenchmen 1
fresnes 1
from 1
gameplaying 1
genitals 1
gestapo 2
given 1
government 1
had 1
he 10
headquarters 1
him 1
himself 1
his 4
icecold 1
ii 1
in 8
including 1
instead 1
interrogations 1
interwar 1
into 1
is 1
it 1
late 1
life 1
lived 1
low 1
made 1
marienburg 1
metro 1
moved 1
national 1
nazis 1
occupied 1
of 4
off 1
on 1
operations 1
organize 1
parachuted 1
paris 1
pass 1
passy 1
point 1
prison 2
psychological 1
rabbit 1
reasonable 1
recapture 1
remainder 1
repeated 1
required 2
resistance 1
respiration 1
responsibilities 1
resumed 1
sent 2
shocks 1
shortly 1
sleep 1
soe 1
sometimes 1
special 1
stalag 1
station 1
subjected 1
submersion 1
surviving 1
that 2
the 16
their 1
then 1
these 1
to 14
took 1
torture 2
transferred 1
two 1
various 1
vichy 1
war 4
was 9
water 1
were 1
where 1
white 1
within 1
world 1
xxb 1
years 1
yeothomas 2
