12515508
/m/02w9ygh
/m/02w9ygh
Richard Laymon

a 7
abandoned 1
abilene 1
allegedly 1
alternating 1
an 3
and 6
annual 1
are 1
at 1
begin 1
beginning 1
best 1
between 1
but 1
by 1
centers 1
choosing 1
college 2
confrontational 1
cora 1
different 1
disappearance 1
disappears 1
discover 1
dormitory 1
during 2
each 1
earlier 1
effort 1
employs 1
events 1
eventual 1
experience 1
experiences 1
fashion 1
fate 1
finley 1
flashback 1
focuses 1
foreshadowed 1
four 1
freshman 2
friends 3
frightening 1
from 1
girls 1
go 1
graduation 1
group 3
gruesome 1
happened 1
helen 2
her 4
in 3
insecure 1
is 1
joker 1
location 1
lodge 1
mainly 1
mass 1
member 1
met 1
model 1
murder 1
mysteriously 1
novel 2
of 9
on 3
one 3
point 1
pole 1
practical 1
presentday 1
previous 1
proceeding 1
resort 3
restroom 1
reunions 1
search 1
since 1
site 1
story 1
structure 1
surrounding 1
takes 1
ten 1
that 1
the 15
their 2
them 1
this 1
three 1
through 1
timid 1
to 4
together 2
told 1
tomboyish 1
totem 1
tough 1
trip 1
vacation 1
view 1
vivian 1
was 1
what 1
when 2
who 1
whose 1
wilderness 1
women 3
year 4
years 1
young 1
