10357570
/m/02q9bvr
/m/02q9bvr
John Barnes
2000
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
2087 1
23 1
a 26
abandon 1
abandoning 1
able 1
about 2
accorded 1
actual 1
actually 1
addition 1
additional 1
adjusts 1
advanced 1
after 6
agrees 1
ai 1
allowed 2
allowing 1
alone 1
already 1
although 2
among 1
an 5
and 43
angry 1
animation 1
another 1
anything 1
apparently 1
are 5
arriving 1
artificial 1
as 5
assigned 1
assume 1
assumes 1
assuring 1
at 2
attacks 1
attempt 1
atypically 1
automatically 1
awakening 1
back 2
badly 1
be 3
beaten 1
beatings 1
become 1
been 1
before 1
behaving 1
being 2
beyond 2
blow 1
body 1
book 1
brain 2
briefing 1
brothers 1
build 1
burn 1
burntout 1
but 2
by 12
caching 1
calm 1
can 2
capture 2
captured 4
carbonhydrogenoxygennitrogen 1
carelessly 1
cellular 4
chance 1
change 1
character 1
check 1
chess 1
child 2
civilization 2
cliff 1
closes 1
code 1
cold 1
collected 1
colorado 1
comfortable 1
communicating 1
communication 1
communicative 1
compelled 1
conclusion 1
confrontation 1
consciousness 1
consists 1
constructed 1
contact 4
control 4
controlled 1
controlling 2
converses 1
copy 3
could 2
cowboy 3
cowboys 1
crimefree 1
curran 1
currie 19
curries 3
curry 1
curtis 1
daughter 2
dave 13
daves 7
days 3
death 1
decrease 1
demands 1
designed 2
details 1
detected 1
device 2
disable 1
disabled 1
disabling 1
discover 2
discovers 1
diskster 1
dissatisfied 1
downloads 1
dropped 1
due 2
during 5
earlier 1
ears 1
earth 1
earths 1
effort 2
emotions 2
empathy 1
engage 1
enough 1
enraged 1
equipment 1
erase 1
evaded 1
even 2
every 1
everyday 1
excavate 1
exchange 1
experience 1
experimental 1
explained 1
explaining 1
explains 2
eyes 1
fabrications 1
fall 2
false 1
feel 1
few 1
fight 2
final 1
find 1
finds 1
first 2
fled 1
flees 1
for 4
fortynineyearold 1
free 1
freecyber 4
freedom 1
friendly 1
from 6
fully 1
functional 1
functioning 1
futuristic 1
gang 1
general 1
generation 1
geothermallyheated 1
give 1
giving 1
goodbyes 1
graduation 1
habits 1
had 1
half 1
has 3
hatred 1
have 4
he 12
head 3
health 1
her 1
hide 2
high 2
hightech 1
him 6
himself 2
his 25
history 2
home 1
host 1
hosts 3
hovercraft 1
human 3
humanlike 1
humans 2
hunt 1
hunter 2
hunters 2
hurrying 1
if 1
immediately 1
implanted 1
improve 1
in 18
incapacitated 1
including 2
indicating 1
information 3
informs 1
injured 1
injury 1
installed 1
intelligence 1
intended 1
interact 1
into 3
is 17
it 6
ithe 1
its 9
jack 5
join 1
joins 1
joke 1
kelly 1
kellys 1
kept 1
killed 1
killing 1
lack 2
lair 5
large 1
last 2
later 2
leader 1
learning 1
learns 1
left 1
let 6
life 2
listening 1
little 1
load 1
lobo 6
lobodave 1
lobos 1
long 1
longer 2
main 1
make 1
making 1
many 2
mary 2
matter 1
means 1
medicine 1
meme 5
memes 1
memories 4
men 1
mental 2
mercenary 1
minutes 1
mission 1
monitors 1
more 2
mother 2
must 1
mutated 1
nancy 1
narrated 1
nature 1
nearly 1
neither 1
network 1
neurocode 1
new 2
no 3
nor 1
normally 1
not 1
nursed 1
obtain 2
of 33
offered 1
old 2
omitted 1
on 2
one 21
ones 2
or 4
order 1
original 1
other 2
out 1
override 3
overwrite 3
parts 1
pastimes 1
people 2
performance 1
person 2
personal 1
philosophical 1
phrase 2
physiology 1
piloted 1
planned 1
play 1
preferences 1
present 1
previous 1
previously 1
principally 1
program 1
promising 1
provides 1
pursues 1
pursuit 1
radio 1
raped 1
rapes 1
reaches 1
reactivated 1
realizes 2
recalled 1
recorded 1
reflexively 1
regaining 1
reluctance 1
remained 1
remaining 1
repaired 2
replace 1
requested 1
requests 2
research 1
responding 1
result 1
resulted 1
resuna 16
retired 1
retirement 1
retreating 1
return 1
returns 1
revealed 1
revulsion 1
robbed 1
room 1
safety 1
satellites 2
saying 1
says 1
scheme 1
school 1
search 1
seeks 1
sees 1
selfassembles 1
set 1
several 3
severe 1
shaken 1
shapeadjusting 1
shelter 1
shouts 1
shown 2
similar 1
singleton 1
skiing 1
skills 1
skisnowshoes 1
so 1
society 1
soldier 1
speak 1
speaks 1
speech 2
spoken 2
state 1
still 2
stories 1
story 6
such 1
suffering 1
suit 1
supplies 2
surveillance 1
suspended 1
team 3
telepathic 1
tell 1
telling 1
tells 1
temporarily 1
ten 1
that 15
the 40
their 7
them 4
there 1
they 4
though 2
thoughts 1
through 1
time 1
to 52
trail 1
trigger 1
true 21
trues 1
turned 1
two 2
unable 4
unconscious 3
under 3
underground 1
undetected 1
unexplored 1
unmentioned 1
up 1
uploaded 3
uploading 1
upon 1
used 1
usual 1
various 2
verge 1
version 3
via 1
visible 1
visit 1
warn 1
warring 1
wars 2
was 6
weather 1
were 3
when 2
which 5
while 5
who 4
wife 3
wild 1
wilderness 1
with 13
within 1
without 1
work 1
would 1
year 1
years 3
