5143235
/m/0d4r_k
/m/0d4r_k
Steve Lyons

a 3
add 1
agora 3
agoran 1
ambition 1
an 2
and 7
another 1
archivist 1
are 1
army 1
arrange 1
arrival 1
as 2
assistance 1
at 1
attack 1
become 1
been 1
born 1
building 2
but 1
by 2
cell 1
centre 1
colony 1
companion 1
conquered 1
control 1
conversion 2
cybermen 5
days 1
discovers 1
doctor 2
due 1
enslaved 1
every 1
excursion 1
excuse 1
fittest 1
five 1
for 2
fulfilment 1
galactic 1
graduand 1
grant 2
has 2
have 1
he 1
hegelia 2
her 2
herding 1
his 1
host 1
human 1
humans 1
hundred 1
in 3
inside 1
intends 1
is 2
jolarr 2
matter 1
meet 1
novice 1
obsessed 1
of 4
on 1
one 1
order 1
partner 1
person 1
plan 1
planet 1
plays 1
population 2
rebels 1
research 1
return 2
returns 1
same 1
sanctioned 1
selectees 1
set 1
she 1
take 1
that 1
the 16
them 1
three 1
time 2
to 8
trapped 1
traveller 1
up 1
upon 1
used 1
was 1
where 1
who 1
with 2
within 1
years 1
