142739
/m/011_bt
/m/011_bt
Pat Barker
1995
{"/m/098tmk": "War novel", "/m/02xlf": "Fiction"}
a 7
able 1
about 1
affected 1
also 1
always 1
amid 1
an 1
and 9
anthropological 1
are 1
armistice 1
as 1
at 1
battle 1
be 1
been 3
before 1
befriended 1
billy 1
breaks 1
by 1
capitulation 1
care 1
childhood 1
concern 1
concerned 1
continues 1
contrast 1
cured 1
days 1
death 1
deeply 1
despite 1
does 1
earlier 1
eddystone 1
encounters 1
engagement 1
episode 1
eventually 1
expedition 1
experience 1
experiences 1
fate 1
few 1
finally 1
for 4
form 1
found 1
france 2
friend 1
friendships 1
front 2
futile 1
has 4
have 1
he 6
his 13
in 4
inevitability 1
invalid 1
is 4
island 2
killed 1
like 1
local 1
lot 1
matter 1
melanesia 1
memories 1
mind 1
munitions 1
never 1
newfound 1
nijiru 1
not 1
now 1
numerous 1
of 7
officers 1
on 2
once 1
only 1
other 1
owen 2
paternal 1
patients 2
pays 1
peace 1
place 2
poet 1
preparing 1
priesthealer 1
prior 6
recognises 1
relationship 1
reminisces 1
return 1
returns 1
risky 1
rivers 4
rounds 1
rule 2
sacred 1
safety 2
sarah 1
sassoon 1
see 1
sex 1
sexual 1
shares 1
shellshock 1
sick 1
side 1
sister 1
skulls 1
symbolic 1
take 1
takes 1
ten 1
that 4
the 9
there 1
therefore 1
this 2
thorn 1
to 12
took 1
uncomfortably 1
upperclass 1
villagers 1
war 1
warm 1
western 1
which 1
who 1
whom 1
wilfred 2
with 4
worker 1
years 1
