17716889
/m/047nywp
/m/047nywp
Janny Wurts
1987-05-19
17 1
a 7
abusive 1
acoma 2
advice 1
after 1
age 1
alliance 2
also 2
among 1
an 5
anasati 3
and 15
arakasi 1
are 1
army 1
arranges 1
artisans 1
as 1
assassination 2
at 4
attempt 1
attended 1
avenging 1
avoids 1
battle 1
be 2
becomes 1
been 2
bends 1
betrayal 1
between 1
bolster 1
both 3
brother 2
brutish 1
buntokapi 3
but 3
by 4
celebration 1
ceremonial 1
choice 2
choja 2
colony 1
commanders 1
commit 1
comprising 1
contrive 1
contriving 1
credit 1
deaths 1
decimated 1
destruction 2
disposal 1
enemies 2
enemy 1
estates 1
exports 1
facing 1
failed 1
fallen 1
falling 1
families 1
family 2
father 2
fierce 1
finally 1
find 1
finds 2
for 2
forced 1
forces 1
former 3
from 2
generally 1
gifted 1
given 2
goddess 1
grey 1
had 1
hands 1
have 3
heir 1
her 16
him 1
himself 3
his 4
honor 1
honorable 1
house 1
houses 1
husband 1
immediate 1
improving 1
in 2
incompetent 1
inept 1
informants 1
insectoid 1
intact 1
interrupted 1
is 3
jingu 2
kelewan 1
keyoke 1
killed 1
lady 1
lashima 1
leader 1
longtime 1
lord 3
loved 1
loyalty 1
machinations 1
makes 2
many 1
mara 8
marriage 2
master 1
mdash 2
might 1
military 4
minwanabi 4
most 1
motion 1
much 1
nacoya 1
needs 1
network 1
new 1
news 1
noble 1
not 1
now 1
nurse 1
of 14
off 1
on 2
ones 1
only 1
others 1
outcast 1
own 3
papewaio 1
plan 1
pledge 1
political 1
potential 1
powerful 2
pregnant 1
prey 1
proves 1
queen 1
ranks 1
recruit 1
regarded 1
relies 1
remains 1
responsible 1
rest 1
reveals 1
ritual 1
ruined 1
ruling 2
save 2
second 2
securing 1
see 1
servantship 1
sets 1
she 1
smarter 1
soldiers 1
solutions 1
somewhat 1
son 1
sons 1
species 1
spy 1
stave 1
strong 1
suicide 2
suit 1
surprising 1
tables 1
than 1
that 3
the 23
their 1
them 1
third 2
thwarted 1
to 13
tradition 1
traditionally 1
turns 1
utter 1
vulnerable 1
warriors 2
way 1
wealth 1
who 1
whose 1
will 1
with 4
wits 1
would 1
