6068767
/m/0fngs4
/m/0fngs4
Mark Merlis
1998-08
{"/m/05hgj": "Novel"}
a 5
able 1
accepted 1
achilles 1
affair 1
again 1
also 1
an 1
and 4
arrow 2
as 2
attached 1
breaks 1
cannot 1
city 1
claim 1
come 1
corythus 1
day 1
decides 1
do 1
father 1
feelings 1
finally 1
for 2
get 1
grown 1
grows 1
has 4
he 10
hears 1
him 1
hints 1
his 5
hospital 1
housemate 1
hustler 1
in 3
inheritance 1
is 3
it 1
latter 2
learns 1
left 1
leucon 3
live 1
lives 1
longer 1
lover 1
man 1
meets 1
needs 1
never 1
no 1
novel 1
old 1
on 1
one 1
openly 1
paris 1
philoctetes 3
probably 1
prophecy 1
pyrrhus 5
realizes 1
sailor 1
seduce 1
see 1
sexuality 1
ship 1
sick 1
sleeps 1
some 1
something 1
soon 1
that 2
the 7
then 1
though 1
to 6
troy 1
true 1
understands 1
very 1
waiter 1
waiting 1
where 1
who 1
will 1
with 3
works 1
