6000399
/m/0fj_4d
/m/0fj_4d


{"/m/0lsxr": "Crime Fiction"}
a 2
act 1
algerian 1
almost 1
announced 1
as 1
at 2
be 1
by 2
car 1
celebrate 1
cordanu 1
decides 1
dinner 2
doing 1
eleventh 1
even 1
fighters 1
for 2
force 1
freedom 1
friend 2
going 1
guest 1
hamburg 1
have 1
he 2
head 1
his 4
house 1
hypnosis 1
identity 1
illegal 1
immediately 1
invites 2
is 5
it 2
law 1
met 1
middernacht 1
na 1
nissim 4
nlhamburg 1
not 2
oblivious 1
of 2
old 2
organise 1
party 1
passed 1
people 1
performed 1
police 1
recognises 1
research 1
reveal 1
reyder 2
since 1
so 1
special 1
struck 1
successful 1
suspecting 1
ten 1
that 3
the 5
they 1
though 1
time 1
to 4
transaction 1
true 1
twentyfive 1
very 1
walter 1
weapons 1
when 2
will 1
years 1
yet 1
