4411125
/m/0c0tr9
/m/0c0tr9
Robert Goldsborough
1986-03-01
{"/m/02n4kr": "Mystery", "/m/028v3": "Detective fiction", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
20th 1
a 12
accept 1
accomplish 1
action 2
activities 1
adjari 1
affair 1
after 2
against 1
agoraphobic 1
alexandra 2
allowed 1
also 2
although 3
always 1
an 2
ancient 1
and 16
anglicized 1
appeals 1
archie 2
area 1
as 5
at 2
austrohungarian 1
away 1
be 2
became 1
because 1
becomes 1
been 5
beer 1
between 2
book 2
borough 1
brandy 1
brenner 1
brought 2
but 3
by 2
called 1
came 1
can 1
cast 1
century 1
cetinje 2
chairman 1
characters 1
clear 2
client 1
cohen 2
company 1
comrades 2
conductor 1
conflict 2
connected 1
contact 1
cooperation 2
corpulent 1
cramer 1
crimesolving 1
critic 1
days 1
death 1
despite 1
developed 2
develops 1
dinner 1
directors 1
disgrace 1
doubt 1
earlier 1
early 1
empire 1
ends 1
era 1
even 1
explores 1
faltered 1
family 1
favorite 2
feels 1
few 2
fictional 1
fifty 1
final 1
finds 1
for 4
formed 1
fortunes 1
friendcollaborator 1
fritz 1
from 6
furthermore 1
gazette 2
genius 1
gerald 1
gives 1
good 2
gratified 1
greatniece 1
greatuncle 1
guardian 1
had 5
hard 1
has 6
have 2
having 1
he 4
help 3
her 6
his 3
homeland 1
honorbound 1
idea 1
in 16
inactive 1
inspector 1
into 3
investigators 1
invites 1
involved 1
is 10
it 6
its 2
jerry 2
killed 1
later 1
learns 1
licensed 1
life 1
living 2
lon 2
london 1
longestranged 1
longtime 1
love 1
made 1
mail 1
makes 1
man 1
management 1
manhattan 1
many 1
maria 7
marry 1
members 1
milan 4
milner 2
milos 3
mind 1
montenegrin 1
montenegro 1
more 1
morning 1
music 2
musicians 1
name 1
new 4
niece 1
no 1
notes 2
novels 1
now 2
of 19
once 2
one 1
opens 1
oppressors 1
orchestra 6
other 4
others 1
over 1
own 1
owns 1
parents 1
past 1
people 1
person 1
photo 1
photograph 1
players 1
plot 1
point 1
prepared 1
present 1
presentday 1
press 1
previous 1
prime 1
private 1
problem 1
radovich 1
rancor 1
reaction 1
receiving 1
recent 1
recovered 1
remain 1
result 2
retirement 1
revive 1
same 1
saved 1
see 1
seek 1
sees 1
semiretired 1
sent 1
serves 1
several 1
share 1
she 4
shielding 1
shootout 1
showing 1
since 1
skeptical 1
slides 1
solve 1
soon 2
stack 1
standing 1
state 1
stefanovi 2
stevans 2
stevens 1
stout 2
strife 1
suicide 1
surrounding 1
survive 1
suspect 1
suspects 1
symphony 3
team 1
terrorist 1
than 1
that 9
the 38
them 4
there 1
therefore 1
they 1
this 1
those 1
though 1
threatening 1
thrown 1
to 12
today 1
token 1
triangle 1
troubles 1
try 1
two 1
ultimate 1
uncle 4
under 1
undertakes 1
up 1
upper 1
violinist 1
virtual 1
wants 1
was 3
what 2
when 1
while 1
who 3
wife 1
with 6
without 1
wolfe 18
word 1
would 2
written 1
years 5
york 3
young 1
