2967710
/m/08gpvq
/m/08gpvq
John Brunner

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
14 1
a 9
all 1
an 1
and 4
barbaric 1
be 2
being 1
belfeor 1
but 2
by 2
cash 1
chance 1
corps 1
cruel 1
dig 1
do 1
dont 1
enslaved 1
exam 1
exist 1
export 1
final 1
for 1
from 1
galactica 1
group 1
gus 1
had 1
hand 1
he 2
help 1
helping 1
her 1
herself 1
him 1
his 1
how 1
inhabited 1
instant 1
iron 1
it 4
its 1
job 1
just 2
know 1
langenschmidt 1
last 1
maddalena 1
map 1
means 1
membership 1
men 1
must 1
nation 1
needed 1
not 1
of 3
on 1
out 1
own 1
part 1
people 2
planet 1
prove 1
radioactive 1
refugees 1
resources 1
saikmar 1
skies 1
spacial 1
speck 1
stereo 1
stolen 1
the 1
this 1
to 7
told 1
treachery 1
was 6
watching 1
were 1
who 3
world 2
worthy 1
would 1
you 2
