22460
/m/05mdd
/m/05mdd
William Shakespeare

a 17
abandon 1
about 5
above 1
absence 1
accompanied 1
accuses 2
accusing 2
achieves 1
act 1
actions 1
admission 1
adultery 1
advantage 1
advise 1
affair 2
after 3
against 1
alarms 1
also 1
an 2
and 32
angry 1
another 1
any 1
apart 1
appointed 1
apprehends 1
are 3
argues 1
armies 1
army 1
arrive 1
arrives 5
as 9
asked 1
asks 1
assembly 1
assumed 1
at 4
attack 1
attackers 1
attacks 2
attendant 1
away 1
battle 1
battletested 1
be 3
became 1
because 4
becomes 1
bed 1
been 1
before 4
begins 1
behind 1
belief 1
believes 2
betray 1
between 2
bianca 6
bid 1
blames 1
both 2
brabantio 7
brawl 1
but 8
by 9
calls 1
can 2
cannot 1
cassio 30
celebration 2
chastises 1
citizenry 1
coming 1
command 1
commits 1
complaining 1
complains 1
confessing 1
confronts 1
conspiracy 1
context 1
contrast 1
convinces 3
custody 1
cut 1
cyprus 6
daughter 2
death 1
defends 1
denounces 1
desdemona 23
destroyed 1
development 1
discovering 1
dissatisfaction 1
dissolute 1
distraught 1
distressed 1
disturbance 2
do 1
does 1
done 1
drops 1
drunk 1
duke 2
duty 1
early 1
efforts 1
elopement 1
emilia 8
emphasizing 1
enamored 1
end 1
engage 1
enraged 1
ensign 1
evidence 1
experience 1
explain 2
explains 1
exposes 1
failed 2
family 1
fate 1
father 2
fight 2
find 2
first 1
fleet 1
for 10
forced 1
forsaken 1
from 5
front 1
general 2
gentleman 1
getting 1
gift 2
gives 1
giving 1
goads 1
going 1
governor 3
gratiano 1
great 1
had 1
hand 1
handkerchief 7
happens 1
has 7
hates 1
have 1
having 1
he 15
help 3
her 12
hide 1
highranking 1
him 18
himself 2
his 20
hitting 1
hold 1
holds 1
hurt 1
husband 1
iago 32
identifies 1
identity 1
if 1
importune 1
in 13
includes 1
innocence 1
instead 1
intermediary 1
intimacy 1
into 1
invading 1
is 12
island 1
it 4
joins 1
just 1
justify 1
kill 5
kills 1
kinsman 1
laments 1
least 1
leave 1
leaves 3
leg 1
lieutenant 1
life 3
live 1
lives 1
lodgings 2
lodovico 2
lover 2
loves 1
maid 1
make 1
man 1
manages 1
marriage 2
men 1
mentions 1
michael 1
miserable 1
moment 1
moorish 1
mother 1
motives 1
name 1
named 2
new 2
news 1
night 1
no 1
nobleman 1
not 3
nothing 1
now 1
of 28
off 1
office 1
on 4
one 1
opens 1
opportunity 1
or 1
order 1
orders 1
othello 32
other 1
others 1
own 3
pain 1
part 1
party 1
passersby 1
perpetrator 1
persuade 2
persuades 2
plans 3
planted 1
plants 1
play 1
pretence 1
pretending 1
previously 1
proceeds 1
promoting 1
proof 1
prostitute 1
pursuit 1
quell 1
questions 1
quietly 1
rank 1
rather 1
reaches 1
reactions 1
real 1
realizes 1
realizing 1
really 1
received 3
refuses 1
reinstate 1
relationship 2
remain 1
remembering 1
request 1
resolves 1
rest 1
rich 1
roderigo 10
ruin 1
satisfied 1
saying 2
schemes 1
scholarly 1
secondhand 1
secret 1
secretly 1
seducing 1
sees 1
senate 1
senator 1
senators 2
serving 1
she 1
significance 1
silent 1
situation 1
slept 1
smothers 1
sneaks 1
so 1
soldier 2
sorts 1
speaking 1
speaks 1
stabs 1
stand 1
stated 1
steals 1
stop 1
stories 1
storm 1
street 1
strips 1
successfully 1
suffering 1
suicide 1
summoned 1
suspicious 1
sword 1
tactician 1
take 2
taken 1
takes 1
talk 1
talking 1
tell 1
tells 2
that 16
the 39
their 2
them 1
then 2
therefore 1
they 2
this 3
threatens 1
thwarting 1
to 42
told 2
tortured 1
tries 1
turkish 1
turks 2
two 1
unaware 1
under 1
upset 1
use 2
various 1
venetian 3
venice 3
vowing 1
wake 1
warns 1
was 2
watch 1
what 2
when 3
whereupon 1
which 2
while 1
who 2
wife 3
will 2
win 1
wine 1
witchcraft 2
with 9
would 1
wounded 1
younger 1
