14976257
/m/03h3h8g
/m/03h3h8g
Beverly Cleary
1973
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 8
after 1
alone 1
and 7
another 1
are 1
as 2
at 1
attention 2
baby 3
be 1
been 2
begins 1
behavior 1
bill 1
bricker 2
brickers 2
care 1
cat 2
charles 1
couple 2
course 1
culminating 1
deal 1
discovers 1
ends 1
even 1
family 1
feel 1
fight 1
forgotten 1
four 1
friend 1
from 1
garage 1
great 1
has 3
have 3
he 4
his 1
however 1
in 5
initially 1
is 2
later 1
less 1
little 1
lives 1
living 1
love 1
marilyn 1
married 1
misadventures 1
misinterpreted 1
neglected 1
neighborhood 1
new 4
normally 1
of 4
on 1
one 1
order 1
part 1
paws 1
perspective 1
place 1
realize 1
receives 2
result 1
several 1
so 1
socks 6
son 1
soon 1
story 1
tabby 1
take 1
takes 1
than 1
that 2
the 10
they 2
this 1
though 1
time 1
to 3
told 1
up 2
way 1
when 1
white 1
who 1
with 4
would 1
wrapped 1
young 1
