811486
/m/03dphj
/m/03dphj
Terry Brooks
1982
a 32
abandoned 1
able 1
about 2
absorbed 1
act 1
action 1
afraid 1
after 8
again 4
against 1
age 1
aged 1
agreed 5
all 5
allanon 12
along 2
also 1
alternate 1
amberle 26
ambushed 2
an 6
ancient 3
and 73
ander 3
angry 2
another 1
anymore 1
anyone 1
appeared 2
arborlon 10
are 1
arion 1
army 2
arrived 1
as 7
assault 1
at 10
attacked 3
attacks 1
attempt 1
attempts 1
attracted 1
away 2
back 6
badly 1
baen 1
banished 1
banishing 1
banners 1
bathed 1
battle 2
battles 1
be 5
bearer 1
beautiful 1
became 1
because 4
become 1
bed 1
been 5
before 1
beginning 2
begun 1
behind 1
being 3
believed 2
bitter 1
block 2
blocking 1
blood 2
bloodfire 5
blunt 1
boat 1
bornbut 1
both 1
brakes 2
bridge 1
bringing 1
broke 2
brother 1
brought 2
but 14
by 17
called 1
came 1
can 2
capital 2
captain 1
captured 1
caravan 2
caravans 1
case 1
caught 1
caused 1
cephalo 6
cephelo 3
changeling 3
choice 1
chosen 5
city 1
claimed 1
claiming 2
cloaked 1
close 1
closing 1
coming 1
commander 1
companions 1
contingents 1
continue 2
could 2
creature 1
crispin 3
cut 1
cutthroats 1
dagda 4
damaging 1
daughter 3
day 1
dead 1
deadand 1
death 1
deception 1
decided 3
decision 1
defeated 2
defend 1
defending 1
defense 2
defenses 1
demon 7
demons 13
depleted 1
descendant 1
desperate 1
despite 2
destroy 1
destroyed 1
destroying 3
did 3
didnt 1
die 1
discover 1
discovered 1
disguised 1
do 1
dog 2
doing 1
domain 1
done 1
down 2
draw 1
drey 2
drifter 2
druid 2
duo 3
during 1
duty 1
dwarf 1
dying 1
each 1
edge 1
elessedil 4
elfstones 8
elfstonesto 1
ellcrys 13
else 1
elven 12
elves 1
en 1
enables 1
engaged 1
enough 1
ensuing 1
entire 2
eretria 8
escape 1
escaped 3
escapes 1
escaping 1
even 1
eventine 10
eventually 2
ever 1
every 1
face 1
failed 1
family 1
fell 1
fended 1
fighting 1
final 1
finally 2
find 5
finds 1
first 2
five 1
flanked 1
fled 1
fly 2
focusing 1
followers 1
for 10
forbidding 4
force 1
forced 2
forces 2
formed 1
fortress 1
fought 1
found 5
fountain 1
four 2
from 7
frontal 1
full 1
furies 1
gardens 1
garrison 1
gate 1
gates 1
genewen 1
get 3
giant 1
girl 1
give 1
giving 1
go 2
goes 1
going 1
gone 1
good 2
gorge 1
granddaughter 1
grimpen 1
group 5
guard 1
guards 1
gypsylike 1
