18622554
/m/02x5vwq
/m/02x5vwq
Diane Duane
1984-07
{"/m/06n90": "Science Fiction"}
a 13
act 1
ael 9
against 1
all 1
allow 1
an 1
and 8
as 1
attempt 1
back 4
base 1
battleship 1
be 1
become 2
been 1
before 2
bloodwing 1
but 1
by 3
captain 2
capture 1
captured 3
close 1
closer 1
commander 1
concerned 1
constellation 1
contacted 1
convince 1
convinces 3
counteracting 1
course 1
crew 3
cross 2
declines 1
defences 1
defenderclass 1
denebian 1
destroyed 1
develop 1
discovered 1
disillusioned 1
done 1
double 1
duly 1
during 1
duty 1
earth 1
empire 1
enterprise 6
especially 1
essentially 1
exile 1
extensive 1
eyes 1
facility 1
federation 2
for 1
from 1
genuinely 1
go 1
hangs 1
has 4
he 1
heads 1
her 5
highly 1
him 2
home 2
hopes 1
imhiessan 1
in 3
inaieu 1
into 2
intrepid 3
involves 1
ion 1
is 5
it 2
its 1
kin 1
kirk 6
launch 1
leave 1
leaving 1
life 1
meaning 1
medical 2
mental 1
mission 1
mysteriously 1
names 3
neutral 1
nonperson 1
of 3
on 4
one 1
only 1
overturned 1
part 1
pass 1
patrolling 1
pennant 1
plan 2
politics 1
powers 1
pretending 1
proceeds 1
project 2
purged 1
records 1
remote 1
rendering 1
rescue 1
rescued 1
research 2
returning 1
romulan 6
romulans 2
secret 1
seeks 1
separate 1
several 1
she 5
ship 3
smoothly 1
son 1
space 3
starships 1
station 1
status 1
storm 1
strike 1
symbolic 1
symbolically 1
tafv 1
take 1
taking 1
tangled 1
tells 2
than 1
that 1
the 22
their 2
this 3
threatens 1
through 1
times 1
to 15
traitor 1
trllaillieu 1
until 1
use 1
uss 2
valley 1
vanishes 1
vulcan 1
vulcans 1
ways 1
when 1
where 1
which 3
whom 1
will 3
with 6
zone 1
