7489971
/m/0263b7l
/m/0263b7l
Patricia Cornwell
1995
a 7
again 1
agonized 1
and 3
apparently 1
as 3
back 2
begins 1
body 1
brilliant 1
by 1
called 1
central 1
christmas 2
climax 1
consulting 1
cop 1
crooked 1
delivered 1
detective 1
did 1
difficult 1
elusive 1
end 1
eve 1
family 1
fbi 1
finds 1
follow 1
for 1
forensic 1
found 1
gault 3
girl 1
has 1
her 1
herself 1
hightech 1
home 1
homeless 1
hyperventilating 1
in 6
ingenious 1
is 3
killer 1
later 1
leaving 1
local 1
morgue 1
naked 1
nearly 1
new 1
niece 1
normally 1
of 3
on 1
opera 1
own 2
paris 1
park 1
pathologist 1
phantom 1
richmond 1
rotten 1
scarpetta 4
set 1
sewers 1
sheriff 1
shooting 1
shot 2
some 1
story 1
struck 1
subway 2
temple 1
the 11
to 3
transit 1
treats 1
tunnel 1
unflappable 1
up 1
virginia 1
visit 1
which 1
work 1
york 1
