11000822
/m/02qxrzb
/m/02qxrzb
Hugh MacLennan

a 6
about 1
adamant 1
after 1
ainslie 2
alan 5
all 1
and 7
archie 3
are 1
as 1
at 2
away 2
barren 1
bear 1
been 1
believes 1
blunt 1
book 1
both 1
boxer 1
by 1
camire 1
cannot 1
children 1
clear 1
coal 1
come 1
company 1
companyowned 1
conclusion 1
contradiction 1
contrive 1
convince 1
daniel 4
doctor 1
equal 1
escape 1
exert 1
expatriate 1
fears 1
for 1
four 1
france 1
french 1
go 1
had 1
has 2
have 1
he 4
her 3
herself 1
him 1
his 3
husband 2
in 4
influence 2
intelligence 1
is 6
it 2
kills 1
like 1
liking 1
living 1
louis 1
macneil 1
made 1
make 1
margaret 4
meanwhile 1
mines 1
mining 2
miss 1
mollie 6
more 1
much 1
never 1
not 1
on 2
own 2
people 1
perform 1
procedure 1
professional 1
realizes 1
resolved 1
return 1
same 1
share 1
since 1
son 2
soulsearching 1
states 1
takes 1
than 1
that 3
the 8
their 1
this 1
those 1
time 1
to 10
town 2
tries 1
trying 2
unable 1
united 1
violently 1
was 1
where 2
whether 1
who 2
wife 2
will 2
with 1
work 1
years 1
young 1
