4427536
/m/0c1sh2
/m/0c1sh2
Daniel Gilbert
2006
abstruse 1
accessible 1
accompanied 1
actually 3
add 1
advice 2
against 1
also 2
and 6
anticipate 1
are 3
argues 1
as 2
avoiding 1
bad 2
be 3
biases 1
blind 2
book 1
but 1
by 3
central 1
cognitive 1
common 1
connect 1
covers 1
culture 1
decision 1
details 2
different 1
do 2
does 1
events 2
excludes 1
expect 2
expected 1
expects 1
experience 1
experiences 2
experiments 1
explaining 1
exploited 1
eyes 1
fabricated 1
fails 2
feel 3
filling 2
fit 1
for 1
frequent 1
from 1
future 2
futures 1
generally 1
gilbert 3
happen 1
happy 1
he 3
heed 1
how 1
imagination 3
imagine 1
imagined 3
imagining 1
immune 1
in 6
instead 2
into 1
is 6
it 2
key 1
layperson 1
like 1
make 2
making 1
many 1
may 1
method 1
mind 2
missing 1
more 1
most 1
much 1
nerves 1
not 3
notably 1
of 6
offers 1
once 1
optic 1
or 5
other 2
our 4
particular 1
pasts 1
patterns 1
people 5
perception 1
poorly 1
predict 1
present 2
psychological 1
quirks 1
realize 2
reasoning 1
recall 1
remove 2
says 1
scenario 1
scotoma 1
similar 1
simple 1
so 1
spot 2
substitute 1
superreplicator 1
surprising 1
system 1
tendencies 1
tends 1
term 1
terminology 1
than 1
that 5
the 14
their 1
them 2
thesis 1
they 3
things 2
thinking 1
this 5
three 1
through 2
to 9
too 1
topic 1
use 2
used 1
various 1
ways 1
we 2
were 1
what 2
which 1
will 4
with 1
written 1
