18719930
/m/04gt_bg
/m/04gt_bg
John Grisham
2009-01-27
{"/m/01jfsb": "Thriller", "/m/05hgj": "Novel"}
a 17
accept 1
access 1
accomplice 1
acted 1
action 1
actions 1
admission 1
admits 1
aeronautics 1
after 2
against 1
agents 1
agree 1
agrees 1
ahead 1
all 1
also 2
although 2
always 1
amends 1
an 4
and 28
anticipate 1
any 1
apartment 2
applying 1
approached 1
are 4
arise 1
as 7
asking 1
assault 1
associates 3
at 5
awake 1
b10 1
bartin 2
battle 1
battles 1
baxter 4
be 3
became 1
been 2
before 1
being 1
belief 1
believing 1
benedict 1
bennie 14
bernardo 1
blackmail 1
blackmailer 1
bogus 1
bomber 1
boot 1
brothers 1
bugs 1
but 3
by 5
cameras 1
camp 1
career 1
case 2
catch 1
certain 1
charge 1
charges 1
citybased 1
claim 1
claimed 1
coed 1
competitor 1
completed 1
computer 2
confidential 1
connections 1
consequences 1
constantly 1
contract 1
contractors 1
cooperates 1
court 1
criminal 1
crucial 1
dead 1
deal 1
declined 1
defense 1
deliver 1
demands 1
derailed 1
design 2
determined 1
developed 1
devote 1
do 1
does 2
doesnt 1
download 1
drawn 2
duquesne 1
dynamics 1
each 1
earlier 1
editorinchief 1
elaine 3
eliminate 1
embarrassment 1
employ 1
employment 1
ensued 1
eventually 1
evidence 1
expert 1
expose 1
family 1
father 2
fbi 4
file 1
files 2
firm 6
first 1
five 1
for 6
force 1
forces 1
former 1
found 1
fraternity 1
friend 1
from 2
further 1
future 1
gets 1
girl 1
give 1
goes 1
good 1
graduation 1
granted 1
guilt 1
had 2
has 7
have 2
having 1
he 15
help 1
hidden 1
highly 2
him 7
his 17
home 1
how 1
hypersonic 1
idealistic 1
identity 1
if 2
ignore 1
immediately 1
impact 1
in 11
incident 2
indicted 1
infiltrate 1
information 4
instinct 1
intends 1
interrogate 1
into 3
investigated 1
is 15
it 3
its 1
jeopardized 1
joey 3
joined 1
journal 1
keenan 1
known 1
knows 2
kyle 14
largest 1
later 2
law 6
lawyer 2
laying 1
leads 1
learns 1
leave 1
legal 1
lengthy 1
living 1
lobbyists 1
local 1
lockheed 1
lose 1
made 1
maintains 1
make 1
man 1
may 1
mcavoy 1
means 1
mention 1
misfires 1
mole 1
months 1
more 1
murderer 1
must 1
mysterious 1
nearly 1
need 1
needs 1
negative 1
new 3
nigel 1
no 2
not 2
now 1
of 14
offer 1
old 1
on 3
one 2
only 1
operation 1
operative 1
ordered 1
outdoors 1
outwit 1
over 1
own 1
ownership 1
part 1
partner 1
partners 2
party 1
pass 1
passing 1
past 1
pentagon 1
people 1
pershing 3
place 1
plan 1
plans 2
plots 1
police 1
position 2
possession 1
practice 1
presence 1
prestigious 1
program 1
project 1
promise 1
proof 1
protection 1
proved 1
public 2
raped 3
ready 1
realizing 1
reemergence 1
refusing 1
rehab 1
relations 1
remain 1
representing 1
represents 1
required 1
risk 1
room 1
roy 3
saga 1
scully 3
secret 1
secure 1
seeks 1
seemingly 1
seen 1
senators 1
service 1
set 1
sexual 1
shame 1
she 4
shot 1
slowly 1
some 1
somewhat 1
sorry 1
sought 1
spoken 1
spotlight 1
step 1
still 2
stint 1
stored 1
story 1
student 2
successful 1
suffer 1
support 1
supported 1
surveillance 1
take 1
tape 2
tate 1
technologies 1
tells 1
than 1
that 4
the 37
their 2
then 1
there 1
they 2
this 1
those 1
thought 1
threatens 1
threats 1
three 1
thumbdrive 1
time 2
to 32
took 1
trailing 1
transferred 1
trick 1
trylon 3
twelvestep 1
two 4
unapprehended 1
unaware 1
unconscious 1
under 1
undergraduate 1
unidentified 1
university 1
unless 1
unwilling 1
up 1
use 1
vanish 1
videotape 2
voices 1
wage 1
wants 1
was 4
what 1
whatever 1
when 3
where 1
which 3
while 2
who 8
whole 2
will 4
with 8
within 1
witness 1
won 1
working 1
world 1
wright 1
yale 1
years 3
york 2
