17299258
/m/043p74c
/m/043p74c
Jeanne DuPrau
2008-08-25
a 16
about 1
actually 1
adopted 1
after 1
all 2
also 2
american 1
an 1
and 28
are 10
as 3
at 2
attacked 1
away 1
back 5
because 2
becomes 1
before 1
begins 1
being 1
believe 1
between 1
bisco 1
book 6
both 1
boy 1
breaks 1
bring 1
bugs 2
builder 1
builders 1
building 1
but 5
by 3
called 1
can 2
cant 1
capture 1
changes 1
chief 1
cities 2
citizens 1
city 4
come 2
comes 1
connecting 1
contains 1
covered 1
crane 1
create 1
created 1
curious 1
darkened 1
darkhold 1
day 1
decide 3
decides 1
devices 1
diamond 5
diamonds 4
discover 1
discovered 1
discussing 1
do 1
dont 1
doon 12
door 1
down 1
drawings 1
dream 1
dying 1
earns 1
eight 2
electricity 1
electronic 1
eliza 1
ember 13
emberites 1
end 1
escapes 1
escaping 1
evacuated 1
family 2
figure 1
filled 2
find 2
finds 1
fires 1
fleet 1
food 1
for 8
forever 1
found 2
four 1
frighten 1
from 5
front 1
future 1
generator 1
gets 1
give 1
go 3
goes 4
going 1
gold 1
gone 1
good 1
goodbye 1
group 1
hall 1
harrow 1
has 1
have 1
he 3
help 4
her 3
him 1
his 4
home 2
horse 1
house 1
however 1
hundreds 2
in 10
into 2
inventions 1
is 7
isnt 1
it 7
just 1
kanza 1
kenny 1
kids 1
last 1
later 1
learn 1
learned 1
left 1
letters 1
lights 1
lina 9
live 2
lived 1
lizzie 1
look 2
looks 1
lot 1
make 1
many 1
marianajohnny 1
marriedand 1
match 1
maybe 1
mayfleet 1
mayor 1
meanwhile 1
messenger 1
mind 1
minny 1
money 1
months 1
mysterious 1
named 3
new 2
nine 1
not 1
of 18
old 2
on 3
one 2
only 1
original 1
other 1
others 1
out 1
outside 1
over 1
own 2
pack 1
pages 2
parton 1
party 1
pedro 1
people 2
piece 1
pipe 1
poppy 1
power 3
printed 1
process 1
realize 1
rebuilt 1
recover 1
released 1
rename 1
return 1
returned 1
revealed 2
roamer 2
roamers 1
says 1
scawgo 2
search 1
sense 1
shatters 1
she 1
shelves 1
should 2
show 1
shutting 1
since 1
so 1
solarpowered 1
soon 1
sorts 1
sources 1
sparks 5
squatters 1
stands 1
start 1
stating 1
steals 1
story 1
study 1
succeed 1
switch 1
taken 1
takes 1
technology 1
that 7
the 41
their 1
them 8
then 1
there 2
therefore 1
they 17
things 1
thinks 1
thousands 2
throws 1
to 18
together 1
top 1
torren 1
town 3
towns 1
trade 1
treats 1
trees 1
troggs 3
truth 1
try 1
two 1
uncovers 1
unique 1
up 1
various 1
vault 1
was 1
washton 1
waterwheel 1
weary 1
well 2
were 1
what 1
when 3
where 1
which 1
while 3
who 3
winter 2
with 8
wolves 2
words 1
wound 1
yorick 1
