12121833
/m/02vqhvc
/m/02vqhvc
Hoda Barakat
1990
182 1
a 25
abandoned 2
abdominal 1
about 1
accept 1
acceptance 1
accidentally 2
acquainted 1
acquires 1
acute 1
admires 1
advances 1
advice 1
after 8
again 2
age 1
agent 1
agree 1
all 2
always 1
among 1
an 6
and 39
another 2
answer 1
answers 1
antiisraeli 1
apartment 8
apartments 1
apologize 1
arabia 1
are 5
area 1
armed 1
as 12
ask 1
asked 1
asks 1
assaulted 1
at 5
atmosphere 1
attacks 1
attracted 1
attraction 1
audience 1
author 2
awake 1
away 2
back 4
battles 1
be 1
because 2
becomes 2
been 2
before 2
begins 2
beirut 3
believe 2
blood 1
blown 1
bombed 1
bombing 2
bombings 4
break 1
bride 1
brother 4
brought 1
building 1
business 1
busy 1
but 3
buying 1
by 9
called 2
car 1
causes 1
changed 2
chapter 1
city 3
claim 1
cleaning 1
cleans 1
clear 2
come 4
comes 5
coming 1
complains 1
concern 1
confirms 1
conflict 1
confuse 1
conversation 2
corrupting 1
coughing 1
cowardice 1
crush 2
damaged 1
dangerous 1
daughter 1
day 2
days 2
dead 1
deal 1
dealings 1
death 3
decided 1
decides 5
defense 1
denial 1
describe 2
describes 1
despite 2
did 1
digresses 1
discuss 1
dislikes 1
distress 1
disturbed 1
does 2
doesnt 3
doing 1
door 2
down 1
driver 1
drives 1
droves 1
drugs 1
during 1
dwell 1
embarrasses 1
emotionally 1
encounters 2
ends 1
enjoys 1
episode 1
everybody 1
examined 1
explains 2
face 1
fact 1
family 1
feeling 1
feels 2
fighting 3
finally 1
find 1
finds 1
fled 1
fleeing 1
floors 1
fm 1
for 6
forced 1
form 1
frantic 1
friend 2
friends 3
from 7
furniture 1
gain 1
gay 2
gentlemen 1
get 1
getting 1
glass 1
go 2
goes 5
going 2
greatly 1
groom 1
group 2
had 2
has 11
have 2
having 2
he 43
heading 1
healed 1
help 1
her 7
here 1
hides 2
higher 1
him 12
himself 4
his 20
home 2
hoping 1
hospital 4
house 2
how 3
immunity 1
in 19
interrogated 1
interview 1
inviting 1
involve 1
involved 2
involvement 1
is 25
isolates 2
israelilebanese 1
it 11
job 3
join 2
keeps 1
khalil 46
killed 3
knows 1
lack 1
later 2
laughs 1
leader 1
learn 2
learns 1
leave 1
lets 1
life 1
like 1
likes 1
listening 1
little 1
live 1
local 1
long 1
look 1
looks 1
loved 1
lying 1
make 2
makes 1
man 2
manages 1
march 1
market 1
memories 1
men 3
met 1
military 1
militia 1
most 1
mother 2
moving 1
mr 1
much 3
mustafa 2
naji 16
narrative 2
nayif 13
near 1
nearly 1
needs 1
neighbors 1
neutral 1
nevertheless 1
new 2
newspaper 4
newspapers 1
next 3
night 1
nights 1
normal 1
not 3
novel 1
now 1
of 14
offer 1
offered 1
offices 1
often 1
on 11
once 2
one 4
only 1
open 1
opening 1
opens 1
operation 1
or 1
order 2
organization 1
other 3
others 2
out 6
outside 1
over 6
own 1
pain 1
paralleled 1
party 3
partylike 1
pass 1
passed 1
passengers 1
passes 1
people 3
phone 1
picks 1
place 1
plan 1
pleased 1
political 3
politics 1
possibility 1
problems 1
progress 1
protagonist 1
questions 1
radical 1
radio 1
rapes 1
rapidly 1
rather 1
recommends 1
reduces 1
referred 1
remove 1
rent 2
repeatedly 1
reporters 1
reputation 1
responsible 1
returns 1
revealed 1
reveals 1
ride 1
rings 1
ritualistically 1
roadblock 1
romantically 1
room 4
said 1
sanctuary 1
saudi 1
saying 1
scene 2
secretly 1
see 2
seem 1
seemingly 1
sell 1
selling 1
sets 1
several 1
she 2
shops 1
should 2
shows 1
sick 1
side 1
since 2
sister 1
sisters 1
sleeping 1
sleeps 1
small 1
some 2
somehow 1
son 1
soon 1
soul 1
spends 3
sporadic 1
staff 1
starts 4
state 1
stays 1
still 1
stops 2
stories 1
storing 1
straightening 1
street 2
streets 5
struggle 1
struggles 1
such 1
sucking 1
suffering 1
supposed 1
suspects 1
take 3
takes 2
talk 2
talking 1
taxi 2
tell 1
tells 3
tenant 1
tenants 1
that 25
the 65
their 1
them 2
there 5
they 4
things 2
think 1
this 6
thought 1
through 1
time 4
to 51
traffic 1
true 1
turns 1
twice 1
ulcer 1
unable 1
uncle 1
up 7
upstairs 1
uses 1
usual 1
usually 1
views 2
village 1
visit 2
visits 2
waiting 1
walk 1
want 1
wants 1
wardamaged 1
was 4
way 1
we 2
weapons 2
well 1
what 1
when 1
where 1
whether 1
which 7
while 2
who 8
whom 1
will 2
window 1
with 11
woman 3
works 1
world 1
write 1
young 1
youssef 7
zahrah 1
