24668032
/m/080j120
/m/080j120
Nick Tosches

11th 1
14th 1
2001 1
a 8
alighieri 1
also 1
alternate 1
and 8
another 1
appears 1
are 1
as 3
attacks 1
attest 1
authenticity 1
autumn 1
black 1
book 2
books 1
brunellesches 1
by 3
called 1
century 1
comedy 1
cut 1
dante 4
directly 1
divine 1
excessively 1
expert 1
featuring 2
fictionalized 1
finish 1
flowery 1
for 1
futility 1
gangster 1
goes 1
himself 1
his 2
historical 1
in 8
included 1
including 1
interweaves 1
introduction 1
is 1
italy 1
journey 1
knowledge 1
lengthy 1
louie 1
magnum 1
making 1
manuscript 1
market 1
meanwhile 1
modern 3
musings 1
mystical 1
new 1
nick 2
novel 1
numbers 1
of 10
on 2
one 1
opus 1
out 1
own 1
passage 1
poetry 1
previous 1
prose 1
protagonist 1
publishing 1
reader 1
references 1
returns 1
role 1
rolling 1
sections 1
separate 1
september 1
sequel 1
set 2
sicily 2
smaller 1
smalltime 1
something 2
state 1
stones 1
stories 2
supposedly 1
the 15
this 1
to 5
tosches 5
traders 1
tries 1
two 1
version 1
who 1
writing 1
written 1
york 1
