6211896
/m/0fx0tj
/m/0fx0tj
Haruki Murakami
2007-05
{"/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
1yearold 1
a 11
after 1
alienation 1
and 5
as 1
beaten 1
been 1
before 1
between 1
bluesette 1
central 1
characters 1
chinese 1
computer 1
course 1
crosses 1
curtis 1
dark 1
deep 1
denny 1
dream 1
eri 2
everything 1
expert 1
female 1
five 1
fuller 1
group 1
has 1
have 1
hotel 2
hung 1
in 8
include 1
insists 1
is 3
knows 2
love 2
loves 1
main 1
manager 1
mari 4
meanwhile 1
meets 1
metropolitan 1
motif 1
murakami 1
night 2
novel 1
now 1
of 5
on 1
one 1
out 1
over 1
parts 1
place 1
prostitute 1
reading 1
reality 1
recurring 1
referred 1
retired 1
sadistic 1
same 1
set 1
she 1
sister 1
sleep 1
song 1
spending 1
spot 1
story 1
stripped 1
student 2
takahashi 3
take 1
that 1
the 6
them 1
theme 1
there 1
this 2
to 1
tokyo 1
tromboneplaying 1
ways 1
who 3
whom 1
with 1
working 1
works 1
world 1
wrestler 1
